表三 2024年9月份全国出口商品贸易同比指数（BEC分类）,表三 2024年9月份全国出口商品贸易同比指数（BEC分类）,表三 2024年9月份全国出口商品贸易同比指数（BEC分类）,表三 2024年9月份全国出口商品贸易同比指数（BEC分类）,表三 2024年9月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Sept. 2024","Table 3 Index Number of Exports by BEC,Sept. 2024","Table 3 Index Number of Exports by BEC,Sept. 2024","Table 3 Index Number of Exports by BEC,Sept. 2024","Table 3 Index Number of Exports by BEC,Sept. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
1,农业、林业、渔业、食品、饮料、烟草,94.9,105.4,100.0
111,中间品,97.5,99.4,97.0
1111,初级品,93.6,105.2,98.5
1112,加工品,98.5,98.1,96.6
112,资本品,97.8,113.6,111.2
113,消费品,93.2,106.5,99.3
1131,初级品,93.2,108.9,101.5
1132,加工品,93.2,102.3,95.3
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,93.9,101.7,95.4
211,中间品,95.7,101.8,97.4
2111,初级品,96.5,104.6,100.9
2112,加工品,95.6,101.6,97.2
212,资本品,97.7,105.4,103.0
213,消费品,82.3,95.0,78.2
2131,初级品,82.3,95.0,78.2
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,92.7,107.3,99.5
311,中间品,92.4,107.1,99.0
3111,初级品,92.7,104.3,96.6
3112,加工品,92.4,107.2,99.0
312,资本品,99.8,106.4,106.2
313,消费品,88.6,108.1,95.8
3131,初级品,96.9,91.9,89.1
3132,加工品,88.2,108.9,96.0
4,纺织品、服装、鞋,93.8,107.7,101.0
411,中间品,99.8,122.5,122.2
4111,初级品,100.2,299.0,299.6
4112,加工品,99.8,122.4,122.1
412,资本品,101.5,99.1,100.6
413,消费品,90.6,101.0,91.5
4131,初级品,96.5,66.7,64.4
4132,加工品,90.6,101.0,91.5
5,运输设备和服务、旅行、邮政服务,93.5,121.1,113.2
511,中间品,91.2,110.1,100.4
5111,初级品,104.3,75.0,78.3
5112,加工品,91.2,110.1,100.5
512,资本品,103.2,162.7,167.9
513,消费品,91.6,117.5,107.7
5132,加工品,91.6,117.5,107.7
6,信息和通信技术、媒体、计算机、商业和金融服务,95.6,101.8,97.4
611,中间品,92.8,106.6,98.9
6112,加工品,92.8,106.6,98.9
612,资本品,101.7,97.0,98.6
613,消费品,93.9,99.9,93.7
6131,初级品,83.2,99.2,82.6
6132,加工品,93.9,99.9,93.7
7,健康、制药、教育、文化、体育,95.4,104.5,99.7
711,中间品,100.4,104.6,105.0
7111,初级品,87.4,85.5,74.7
7112,加工品,100.5,104.6,105.1
712,资本品,95.1,102.9,97.9
713,消费品,93.9,104.8,98.4
7131,初级品,89.5,113.1,101.3
7132,加工品,94.4,104.0,98.1
8,政府、军队和其他,109.4,106.0,115.9
811,中间品,104.3,116.0,120.9
8112,加工品,104.3,116.0,120.9
812,资本品,131.7,84.2,110.9
813,消费品,85.0,105.9,90.0
8131,初级品,90.5,110.3,99.9
8132,加工品,84.5,105.5,89.1
