表十四 2023年8月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年8月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年8月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年8月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年8月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Aug. 2023","Table 14 Index Number of Imports by SITC2,Aug. 2023","Table 14 Index Number of Imports by SITC2,Aug. 2023","Table 14 Index Number of Imports by SITC2,Aug. 2023","Table 14 Index Number of Imports by SITC2,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,87.1,121.0,105.3
0,食品及活动物,96.6,92.2,89.0
00,活动物（03章动物除外）,78.9,72.2,57.0
01,肉及肉制品,85.6,95.7,82.0
02,乳品及蛋品,95.3,97.6,93.0
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,91.4,91.9,84.0
04,谷物及谷物制品,99.4,86.8,86.3
05,蔬菜及水果,96.9,124.5,120.7
06,糖、糖制品及蜂蜜,126.2,73.6,92.9
07,咖啡、茶、马黛茶、调味香料及其制品,104.7,76.2,79.8
08,动物饲料（不包括未碾磨谷物）,100.8,80.3,81.0
09,杂项食品,115.7,72.8,84.3
1,饮料及烟类,116.4,94.9,110.5
11,饮料,115.6,104.4,120.7
12,烟草及烟草制品,118.7,71.7,85.1
2,非食用原料（燃料除外）,97.0,115.9,112.4
21,生皮及生毛皮,95.6,124.8,119.3
22,含油子仁及果实,82.7,134.5,111.2
23,生橡胶（包括合成橡胶及再生橡胶）,84.5,109.0,92.1
24,软木及木材,88.0,81.4,71.6
25,纸浆及废纸,71.8,124.0,89.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,90.2,131.5,118.6
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,69.0,112.9,77.9
28,金属矿砂及金属废料,107.8,114.1,123.0
29,其他动、植物原料,85.3,99.9,85.2
3,矿物燃料、润滑油及有关原料,78.2,133.1,104.1
32,煤、焦炭及煤砖,65.8,159.5,104.9
33,石油、石油产品及有关原料,80.8,131.3,106.1
34,天然气及人造气,74.2,127.8,94.8
35,电力,95.8,62.3,59.7
4,动、植物油、脂及蜡,71.1,153.2,108.9
41,动物油、脂,109.7,119.0,130.5
42,初榨、精制或分离的固定植物油、脂,69.1,161.2,111.4
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,85.4,90.8,77.5
5-9,工业制品,98.6,95.3,93.9
5,化学品及有关产品,88.5,99.4,88.0
51,有机化学品,91.6,104.4,95.6
52,无机化学品,72.6,91.2,66.2
53,染料、鞣料及着色料,116.3,85.5,99.4
54,医药品,85.7,111.2,95.3
55,精油、香膏及芳香料;盥洗及光洁制品,102.3,75.0,76.7
56,肥料（272组货品除外）,59.8,99.0,59.2
57,初级形状的塑料,84.7,104.4,88.4
58,非初级形状的塑料,108.2,94.3,102.0
59,未列名化学原料及产品,93.9,96.6,90.7
6,按原料分类的制成品,98.2,97.2,95.5
61,皮革、皮革制品及已鞣毛皮,97.6,122.8,119.9
62,橡胶制品,106.6,91.7,97.7
63,软木及木制品（家俱除外）,97.6,109.5,106.9
64,纸、纸板及纸浆、纸或纸板制品,86.1,127.7,110.0
65,纺织纱线、织物未列名制品及有关产品,99.4,127.5,126.7
66,未列名非金属矿物制品,98.6,74.9,73.8
67,钢铁,85.6,102.6,87.8
68,有色金属,104.7,94.6,99.1
69,未列名金属制品,111.3,88.7,98.8
7,机械及运输设备,99.3,97.7,97.0
71,动力机械及设备,111.5,107.9,120.3
72,特种工业专用机械,114.6,96.4,110.4
73,金工机械,108.0,90.1,97.2
74,通用工业机械设备及零件,113.1,91.6,103.7
75,办公室用机械及自动数据处理设备,74.9,127.8,95.7
76,电信及声音的录制或重放装置及设备,96.4,94.1,90.7
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,98.6,95.8,94.4
78,陆路车辆（包括气垫式）,103.9,94.3,98.0
79,其他运输设备,93.9,106.3,99.8
8,杂项制品,104.1,94.5,98.4
81,活动房屋;卫生、水道、供热及照明装置,104.0,79.9,83.0
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,110.3,82.6,91.1
83,旅行用品、手提包及类似容器,132.5,80.3,106.4
84,服装及衣着附件,103.2,93.8,96.8
85,鞋靴,98.6,100.7,99.4
87,专业、科学及控制用仪器及设备,102.5,94.6,96.9
88,摄影器材及光学物品;钟表,101.1,88.4,89.3
89,未列名杂项制品,105.6,103.0,108.8
9,未分类的商品及交易品,111.8,69.8,78.0
97,金，非货币（不包括黄金矿砂及精矿）,115.4,67.4,77.8
98,其他,78.8,102.8,81.0
