表四 2025年4月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年4月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年4月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年4月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Apr. 2025","Table 4 Index Number of Exports by Industry,Apr. 2025","Table 4 Index Number of Exports by Industry,Apr. 2025","Table 4 Index Number of Exports by Industry,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,94.2,112.2,105.8
农业,93.6,114.9,107.5
林业,98.8,105.9,104.6
畜牧业,94.4,108.0,102.0
渔业,101.1,88.5,89.4
采矿业,90.3,113.9,102.8
煤炭开采和洗选业,72.6,128.4,93.3
石油和天然气开采业,104.2,105.0,109.4
黑色金属矿采选业,78.9,139.5,110.1
有色金属矿采选业,100.9,101.6,102.6
非金属矿采选业,87.0,109.2,95.0
制造业,96.7,113.0,109.3
消费品制造业,92.7,108.7,100.8
农副食品加工业,99.3,103.9,103.1
食品制造业,94.8,112.2,106.4
酒、饮料和精制茶制造业,96.3,113.8,109.5
烟草制品业,99.7,94.3,94.0
纺织业,94.6,110.9,104.9
纺织服装、服饰业,89.2,112.4,100.3
皮革、毛皮、羽毛及其制品和制鞋业,89.8,110.2,98.9
家具制造业,94.8,99.4,94.2
造纸和纸制品业,87.8,111.9,98.2
印刷和记录媒介复制业,87.0,120.7,105.0
文教、工美、体育和娱乐用品制造业,92.5,106.8,98.7
医药制造业,95.8,110.3,105.7
化学纤维制造业,94.5,112.5,106.3
原材料制造业,96.5,112.7,108.8
石油、煤炭及其他燃料加工业,91.0,104.7,95.3
化学原料和化学制品制造业,96.3,109.0,104.9
非金属矿物制品业,96.1,106.9,102.7
黑色金属冶炼和压延加工业,89.8,116.0,104.1
有色金属冶炼和压延加工业,112.5,135.1,152.0
装备制造业,97.3,114.8,111.7
金属制品业,92.2,118.3,109.1
通用设备制造业,96.8,120.6,116.7
专用设备制造业,99.5,115.9,115.4
汽车制造业,94.9,114.1,108.4
铁路、船舶、航空航天和其他运输设备制造业,103.3,125.6,129.8
电气机械和器材制造业,98.2,115.0,113.0
计算机、通信和其他电子设备制造业,96.9,110.8,107.4
仪器仪表制造业,107.8,108.3,116.7
木材加工和木、竹、藤、棕、草制品业,93.9,108.5,101.9
橡胶和塑料制品业,92.3,110.7,102.1
其他制造业,118.1,115.5,136.3
废弃资源综合利用业,97.0,51.8,50.3
电力、热力、燃气及水生产和供应业,94.3,122.2,115.3
电力、热力生产和供应业,94.3,122.2,115.3
科学研究和技术服务业,121.1,755.2,914.7
专业技术服务业,121.1,755.2,914.7
文化、体育和娱乐业,97.3,101.9,99.1
新闻和出版业,97.3,101.9,99.1
