表十四 2024年12月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年12月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年12月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年12月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年12月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Dec. 2024","Table 14 Index Number of Imports by SITC2,Dec. 2024","Table 14 Index Number of Imports by SITC2,Dec. 2024","Table 14 Index Number of Imports by SITC2,Dec. 2024","Table 14 Index Number of Imports by SITC2,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,92.4,98.7,91.3
0,食品及活动物,96.2,100.8,96.9
00,活动物（03章动物除外）,129.1,162.9,210.2
01,肉及肉制品,99.8,109.7,109.5
02,乳品及蛋品,108.4,133.2,144.4
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,100.2,122.6,122.9
04,谷物及谷物制品,88.6,36.9,32.7
05,蔬菜及水果,94.3,137.9,130.1
06,糖、糖制品及蜂蜜,90.1,99.1,89.2
07,咖啡、茶、马黛茶、调味香料及其制品,115.4,109.9,126.9
08,动物饲料（不包括未碾磨谷物）,78.9,85.4,67.4
09,杂项食品,102.5,119.4,122.3
1,饮料及烟类,95.3,120.4,114.7
11,饮料,93.6,120.3,112.6
12,烟草及烟草制品,114.3,117.0,133.7
2,非食用原料（燃料除外）,95.1,100.6,95.7
21,生皮及生毛皮,92.3,117.5,108.5
22,含油子仁及果实,82.1,82.9,68.1
23,生橡胶（包括合成橡胶及再生橡胶）,131.9,110.8,146.1
24,软木及木材,101.5,99.1,100.6
25,纸浆及废纸,104.4,93.6,97.8
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,96.8,70.7,68.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,113.8,68.1,77.5
28,金属矿砂及金属废料,94.8,107.5,101.9
29,其他动、植物原料,97.4,110.9,108.0
3,矿物燃料、润滑油及有关原料,88.9,96.6,85.9
32,煤、焦炭及煤砖,84.6,106.0,89.6
33,石油、石油产品及有关原料,89.2,94.9,84.6
34,天然气及人造气,90.5,97.5,88.2
35,电力,94.5,146.4,138.3
4,动、植物油、脂及蜡,117.1,89.5,104.8
41,动物油、脂,96.4,138.7,133.7
42,初榨、精制或分离的固定植物油、脂,114.8,86.0,98.7
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,139.2,104.2,145.0
5-9,工业制品,101.1,107.6,108.7
5,化学品及有关产品,99.9,107.7,107.6
51,有机化学品,100.3,113.3,113.7
52,无机化学品,100.1,101.7,101.8
53,染料、鞣料及着色料,98.8,105.6,104.4
54,医药品,105.4,100.6,106.1
55,精油、香膏及芳香料;盥洗及光洁制品,94.8,118.0,111.8
56,肥料（272组货品除外）,89.8,104.4,93.7
57,初级形状的塑料,100.6,102.5,103.0
58,非初级形状的塑料,99.3,109.3,108.4
59,未列名化学原料及产品,93.9,119.4,112.2
6,按原料分类的制成品,101.7,106.9,108.7
61,皮革、皮革制品及已鞣毛皮,104.0,82.7,86.0
62,橡胶制品,101.0,98.3,99.3
63,软木及木制品（家俱除外）,123.3,95.9,118.3
64,纸、纸板及纸浆、纸或纸板制品,101.6,95.9,97.5
65,纺织纱线、织物未列名制品及有关产品,98.8,98.6,97.4
66,未列名非金属矿物制品,102.4,96.0,98.2
67,钢铁,92.1,101.2,93.2
68,有色金属,106.1,113.8,120.8
69,未列名金属制品,101.9,119.0,121.3
7,机械及运输设备,99.6,107.8,107.4
71,动力机械及设备,109.6,94.3,103.3
72,特种工业专用机械,94.8,124.3,117.9
73,金工机械,95.5,101.5,97.0
74,通用工业机械设备及零件,98.0,108.9,106.7
75,办公室用机械及自动数据处理设备,124.3,125.0,155.3
76,电信及声音的录制或重放装置及设备,94.4,102.2,96.4
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,99.1,106.8,105.9
78,陆路车辆（包括气垫式）,93.1,76.5,71.3
79,其他运输设备,86.0,179.1,154.0
8,杂项制品,97.5,105.6,103.0
81,活动房屋;卫生、水道、供热及照明装置,129.7,73.7,95.6
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,98.4,105.4,103.7
83,旅行用品、手提包及类似容器,102.6,92.5,95.0
84,服装及衣着附件,99.9,104.4,104.2
85,鞋靴,96.7,111.1,107.4
87,专业、科学及控制用仪器及设备,96.9,109.5,106.1
88,摄影器材及光学物品;钟表,100.5,98.1,98.6
89,未列名杂项制品,92.8,107.8,100.0
9,未分类的商品及交易品,122.9,110.9,136.3
96,硬币（金币除外），没有法定货币,99.5,65.1,64.8
97,金，非货币（不包括黄金矿砂及精矿）,130.0,111.2,144.7
98,其他,73.9,108.1,79.9
