表十四 2025年6月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年6月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年6月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年6月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年6月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,June 2025","Table 14 Index Number of Imports by SITC2,June 2025","Table 14 Index Number of Imports by SITC2,June 2025","Table 14 Index Number of Imports by SITC2,June 2025","Table 14 Index Number of Imports by SITC2,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,91.3,104.3,95.3
0,食品及活动物,101.9,108.6,110.7
00,活动物（03章动物除外）,108.3,493.9,535.0
01,肉及肉制品,106.0,104.6,110.9
02,乳品及蛋品,112.6,96.1,108.2
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,106.7,105.1,112.1
04,谷物及谷物制品,96.6,54.2,52.4
05,蔬菜及水果,96.4,133.7,128.8
06,糖、糖制品及蜂蜜,96.1,149.0,143.2
07,咖啡、茶、马黛茶、调味香料及其制品,130.2,136.4,177.6
08,动物饲料（不包括未碾磨谷物）,88.9,104.2,92.6
09,杂项食品,101.5,122.7,124.5
1,饮料及烟类,99.5,83.3,82.9
11,饮料,92.5,108.7,100.6
12,烟草及烟草制品,110.9,55.7,61.7
2,非食用原料（燃料除外）,98.4,106.4,104.6
21,生皮及生毛皮,85.4,73.4,62.7
22,含油子仁及果实,91.0,105.1,95.7
23,生橡胶（包括合成橡胶及再生橡胶）,109.9,125.1,137.5
24,软木及木材,98.1,89.8,88.1
25,纸浆及废纸,94.9,116.9,111.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,94.4,63.1,59.6
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,95.7,107.9,103.3
28,金属矿砂及金属废料,100.3,108.0,108.3
29,其他动、植物原料,102.9,99.8,102.7
3,矿物燃料、润滑油及有关原料,82.6,101.6,83.9
32,煤、焦炭及煤砖,74.0,76.2,56.4
33,石油、石油产品及有关原料,80.7,107.0,86.3
34,天然气及人造气,95.9,93.9,90.0
35,电力,94.4,85.1,80.3
4,动、植物油、脂及蜡,111.4,120.9,134.7
41,动物油、脂,68.7,176.3,121.1
42,初榨、精制或分离的固定植物油、脂,114.9,116.4,133.7
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,111.5,134.1,149.4
5-9,工业制品,105.5,101.9,107.5
5,化学品及有关产品,98.6,98.3,96.9
51,有机化学品,94.3,113.1,106.6
52,无机化学品,95.1,114.5,108.9
53,染料、鞣料及着色料,108.0,93.5,101.0
54,医药品,102.6,82.0,84.2
55,精油、香膏及芳香料;盥洗及光洁制品,91.4,115.6,105.7
56,肥料（272组货品除外）,99.3,82.1,81.6
57,初级形状的塑料,98.9,90.0,89.0
58,非初级形状的塑料,109.3,86.3,94.3
59,未列名化学原料及产品,99.7,110.5,110.2
6,按原料分类的制成品,100.6,103.9,104.5
61,皮革、皮革制品及已鞣毛皮,98.0,74.7,73.2
62,橡胶制品,104.9,93.1,97.6
63,软木及木制品（家俱除外）,109.1,87.4,95.4
64,纸、纸板及纸浆、纸或纸板制品,98.1,83.2,81.5
65,纺织纱线、织物未列名制品及有关产品,99.4,91.4,90.8
66,未列名非金属矿物制品,96.3,98.1,94.4
67,钢铁,94.4,113.1,106.7
68,有色金属,102.5,110.0,112.7
69,未列名金属制品,110.2,87.7,96.7
7,机械及运输设备,105.5,102.3,108.0
71,动力机械及设备,103.8,123.2,128.0
72,特种工业专用机械,110.6,102.5,113.4
73,金工机械,105.0,98.0,102.9
74,通用工业机械设备及零件,108.0,93.7,101.1
75,办公室用机械及自动数据处理设备,91.4,120.4,110.0
76,电信及声音的录制或重放装置及设备,99.9,122.7,122.6
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,107.3,101.6,109.0
78,陆路车辆（包括气垫式）,99.4,70.8,70.4
79,其他运输设备,134.6,110.7,149.0
8,杂项制品,104.4,101.7,106.2
81,活动房屋;卫生、水道、供热及照明装置,87.6,101.3,88.8
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,104.8,94.5,99.1
83,旅行用品、手提包及类似容器,100.9,100.0,100.9
84,服装及衣着附件,92.4,111.8,103.3
85,鞋靴,109.6,89.2,97.8
87,专业、科学及控制用仪器及设备,103.0,103.8,106.9
88,摄影器材及光学物品;钟表,112.4,93.9,105.5
89,未列名杂项制品,106.1,103.8,110.1
9,未分类的商品及交易品,142.9,105.6,150.9
97,金，非货币（不包括黄金矿砂及精矿）,143.2,113.2,162.1
98,其他,139.2,64.6,89.9
