表四 2024年11月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2024年11月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2024年11月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2024年11月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Nov. 2024","Table 4 Index Number of Exports by Industry,Nov. 2024","Table 4 Index Number of Exports by Industry,Nov. 2024","Table 4 Index Number of Exports by Industry,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,94.9,105.3,100.0
农业,94.6,106.7,101.0
林业,106.2,128.6,136.5
畜牧业,92.5,105.5,97.6
渔业,101.1,85.9,86.8
采矿业,93.9,115.8,108.8
煤炭开采和洗选业,95.1,58.6,55.7
石油和天然气开采业,99.7,152.4,151.9
黑色金属矿采选业,82.3,133.9,110.3
有色金属矿采选业,103.1,88.2,91.0
非金属矿采选业,89.8,99.0,88.9
制造业,94.7,111.7,105.8
消费品制造业,92.0,111.7,102.9
农副食品加工业,94.0,120.5,113.3
食品制造业,94.6,109.8,103.9
酒、饮料和精制茶制造业,88.2,120.7,106.5
烟草制品业,96.0,98.5,94.6
纺织业,94.7,114.9,108.8
纺织服装、服饰业,92.4,112.1,103.5
皮革、毛皮、羽毛及其制品和制鞋业,91.0,105.7,96.2
家具制造业,85.8,113.1,97.1
造纸和纸制品业,88.6,113.1,100.3
印刷和记录媒介复制业,91.4,109.5,100.1
文教、工美、体育和娱乐用品制造业,90.5,107.3,97.1
医药制造业,98.2,116.9,114.8
化学纤维制造业,96.7,112.2,108.5
原材料制造业,92.0,111.4,102.5
石油、煤炭及其他燃料加工业,85.6,99.8,85.4
化学原料和化学制品制造业,93.5,106.2,99.3
非金属矿物制品业,85.8,104.7,89.8
黑色金属冶炼和压延加工业,87.4,121.4,106.1
有色金属冶炼和压延加工业,109.1,138.6,151.2
装备制造业,96.6,111.0,107.2
金属制品业,92.2,121.9,112.3
通用设备制造业,97.4,115.4,112.4
专用设备制造业,100.0,111.9,111.9
汽车制造业,90.2,108.2,97.6
铁路、船舶、航空航天和其他运输设备制造业,100.5,110.7,111.3
电气机械和器材制造业,90.1,116.6,105.0
计算机、通信和其他电子设备制造业,101.0,106.0,107.0
仪器仪表制造业,102.1,102.0,104.2
木材加工和木、竹、藤、棕、草制品业,88.0,119.2,104.8
橡胶和塑料制品业,92.4,112.7,104.2
其他制造业,93.1,123.7,115.2
废弃资源综合利用业,99.3,82.1,81.5
电力、热力、燃气及水生产和供应业,100.0,136.4,136.4
电力、热力生产和供应业,100.0,136.4,136.4
科学研究和技术服务业,54.2,455.9,247.0
专业技术服务业,54.2,455.9,247.0
文化、体育和娱乐业,94.0,115.8,108.9
新闻和出版业,94.0,115.8,108.9
