表四 2023年12月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年12月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年12月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年12月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Dec. 2023","Table 4 Index Number of Exports by Industry,Dec. 2023","Table 4 Index Number of Exports by Industry,Dec. 2023","Table 4 Index Number of Exports by Industry,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
农、林、牧、渔业,97.5,108.5,105.8
农业,98.9,110.4,109.2
林业,118.4,84.7,100.3
畜牧业,83.2,110.2,91.7
渔业,95.6,90.5,86.5
采矿业,90.8,103.8,94.3
煤炭开采和洗选业,76.3,132.9,101.4
石油和天然气开采业,93.5,225.1,210.4
黑色金属矿采选业,111.6,90.7,101.2
有色金属矿采选业,91.0,78.6,71.5
非金属矿采选业,84.0,64.6,54.3
制造业,91.6,113.4,103.8
消费品制造业,92.5,110.4,102.1
农副食品加工业,94.5,109.5,103.5
食品制造业,88.3,104.2,92.0
酒、饮料和精制茶制造业,100.8,103.9,104.8
烟草制品业,86.0,162.8,140.1
纺织业,95.6,109.7,104.8
纺织服装、服饰业,93.6,111.1,104.0
皮革、毛皮、羽毛及其制品和制鞋业,92.1,107.3,98.8
家具制造业,91.2,132.6,120.9
造纸和纸制品业,87.7,118.4,103.9
印刷和记录媒介复制业,96.9,120.4,116.7
文教、工美、体育和娱乐用品制造业,90.9,99.5,90.5
医药制造业,89.8,113.4,101.8
化学纤维制造业,99.3,101.9,101.2
原材料制造业,86.9,102.7,89.3
石油、煤炭及其他燃料加工业,98.2,63.4,62.2
化学原料和化学制品制造业,84.6,107.8,91.2
非金属矿物制品业,83.9,106.1,89.0
黑色金属冶炼和压延加工业,80.1,121.9,97.7
有色金属冶炼和压延加工业,95.4,126.7,120.9
装备制造业,92.7,114.0,105.7
金属制品业,88.8,122.0,108.4
通用设备制造业,93.3,119.2,111.3
专用设备制造业,92.9,116.9,108.7
汽车制造业,103.0,128.1,132.0
铁路、船舶、航空航天和其他运输设备制造业,93.9,119.8,112.5
电气机械和器材制造业,90.4,109.6,99.1
计算机、通信和其他电子设备制造业,92.5,110.7,102.4
仪器仪表制造业,96.7,105.0,101.5
木材加工和木、竹、藤、棕、草制品业,94.6,106.7,101.0
橡胶和塑料制品业,93.9,118.7,111.5
其他制造业,80.1,186.7,149.5
废弃资源综合利用业,75.7,99.5,75.3
电力、热力、燃气及水生产和供应业,104.6,91.5,95.7
电力、热力生产和供应业,104.6,91.5,95.7
