表四 2023年11月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年11月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年11月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年11月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Nov. 2023","Table 4 Index Number of Exports by Industry,Nov. 2023","Table 4 Index Number of Exports by Industry,Nov. 2023","Table 4 Index Number of Exports by Industry,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
农、林、牧、渔业,98.8,118.4,117.0
农业,100.2,121.5,121.8
林业,81.9,85.2,69.8
畜牧业,88.7,111.2,98.6
渔业,91.7,94.5,86.7
采矿业,90.3,104.4,94.3
煤炭开采和洗选业,64.7,245.7,159.0
石油和天然气开采业,87.0,115.3,100.4
黑色金属矿采选业,108.7,89.3,97.0
有色金属矿采选业,99.7,136.1,135.7
非金属矿采选业,83.0,80.5,66.8
制造业,90.7,112.0,101.6
消费品制造业,87.7,110.0,96.5
农副食品加工业,94.0,111.4,104.7
食品制造业,85.6,107.4,91.9
酒、饮料和精制茶制造业,103.0,99.4,102.3
烟草制品业,80.5,152.0,122.4
纺织业,92.6,108.4,100.4
纺织服装、服饰业,91.1,108.2,98.6
皮革、毛皮、羽毛及其制品和制鞋业,85.7,104.7,89.7
家具制造业,82.7,132.5,109.6
造纸和纸制品业,79.3,117.5,93.2
印刷和记录媒介复制业,84.3,120.0,101.1
文教、工美、体育和娱乐用品制造业,84.3,104.4,88.0
医药制造业,85.4,106.4,90.8
化学纤维制造业,95.9,115.3,110.6
原材料制造业,84.6,111.6,94.3
石油、煤炭及其他燃料加工业,97.1,83.1,80.8
化学原料和化学制品制造业,82.2,119.4,98.1
非金属矿物制品业,78.6,109.9,86.4
黑色金属冶炼和压延加工业,79.7,123.0,98.0
有色金属冶炼和压延加工业,95.5,117.0,111.7
装备制造业,93.8,111.8,104.9
金属制品业,85.2,116.1,99.0
通用设备制造业,91.7,112.5,103.1
专用设备制造业,93.9,111.0,104.2
汽车制造业,95.9,125.8,120.6
铁路、船舶、航空航天和其他运输设备制造业,90.2,134.5,121.3
电气机械和器材制造业,89.4,107.7,96.3
计算机、通信和其他电子设备制造业,98.3,109.6,107.8
仪器仪表制造业,97.4,102.0,99.4
木材加工和木、竹、藤、棕、草制品业,88.5,116.3,102.9
橡胶和塑料制品业,85.5,122.7,104.9
其他制造业,89.3,123.3,110.2
废弃资源综合利用业,75.0,77.2,57.9
电力、热力、燃气及水生产和供应业,105.2,91.2,96.0
电力、热力生产和供应业,105.2,91.2,96.0
