表三 2025年4月份全国出口商品贸易同比指数（BEC分类）,表三 2025年4月份全国出口商品贸易同比指数（BEC分类）,表三 2025年4月份全国出口商品贸易同比指数（BEC分类）,表三 2025年4月份全国出口商品贸易同比指数（BEC分类）,表三 2025年4月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Apr. 2025","Table 3 Index Number of Exports by BEC,Apr. 2025","Table 3 Index Number of Exports by BEC,Apr. 2025","Table 3 Index Number of Exports by BEC,Apr. 2025","Table 3 Index Number of Exports by BEC,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,98.1,109.6,107.6
111,中间品,100.9,101.4,102.3
1111,初级品,96.4,107.5,103.6
1112,加工品,102.4,99.5,101.9
112,资本品,102.9,119.1,122.5
113,消费品,95.7,111.3,106.5
1131,初级品,95.8,114.5,109.7
1132,加工品,95.5,105.5,100.8
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,97.9,110.2,107.9
211,中间品,96.1,109.3,105.1
2111,初级品,92.9,103.9,96.5
2112,加工品,96.3,109.7,105.7
212,资本品,106.8,113.1,120.8
213,消费品,90.2,110.2,99.4
2131,初级品,90.2,110.2,99.4
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,95.8,115.0,110.2
311,中间品,97.7,117.6,114.9
3111,初级品,101.0,100.4,101.3
3112,加工品,97.7,117.8,115.1
312,资本品,94.1,121.5,114.3
313,消费品,93.9,106.6,100.1
3131,初级品,100.4,120.2,120.7
3132,加工品,93.7,106.1,99.4
4,纺织品、服装、鞋,93.9,112.1,105.3
411,中间品,96.7,118.9,115.0
4111,初级品,88.0,53.6,47.2
4112,加工品,96.7,119.0,115.1
412,资本品,97.7,134.1,131.0
413,消费品,92.1,107.3,98.8
4131,初级品,100.9,83.9,84.6
4132,加工品,92.1,107.3,98.8
5,运输设备和服务、旅行、邮政服务,96.3,116.2,111.9
511,中间品,96.9,117.0,113.4
5111,初级品,95.7,114.4,109.4
5112,加工品,96.9,117.0,113.4
512,资本品,99.1,119.1,118.0
513,消费品,91.9,113.2,104.0
5132,加工品,91.9,113.2,104.0
6,信息和通信技术、媒体、计算机、商业和金融服务,95.7,110.6,105.9
611,中间品,101.1,118.3,119.6
6112,加工品,101.1,118.3,119.6
612,资本品,93.0,105.4,98.1
613,消费品,87.2,100.5,87.7
6131,初级品,95.5,102.1,97.5
6132,加工品,87.2,100.5,87.7
7,健康、制药、教育、文化、体育,95.0,109.4,104.0
711,中间品,104.8,106.0,111.1
7111,初级品,111.2,93.3,103.7
7112,加工品,104.8,106.0,111.1
712,资本品,97.1,112.4,109.1
713,消费品,91.0,109.9,100.0
7131,初级品,94.1,118.7,111.7
7132,加工品,90.6,108.9,98.7
8,政府、军队和其他,96.8,124.1,120.1
811,中间品,97.9,119.6,117.1
8112,加工品,97.9,119.6,117.1
812,资本品,96.2,136.5,131.3
813,消费品,87.2,113.5,99.0
8131,初级品,82.1,35.9,29.4
8132,加工品,87.4,117.5,102.7
