表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Dec. 2023","Table 13 Index Number of Imports by HS2,Dec. 2023","Table 13 Index Number of Imports by HS2,Dec. 2023","Table 13 Index Number of Imports by HS2,Dec. 2023","Table 13 Index Number of Imports by HS2,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,98.0,103.6,101.6
1类,第一类 活动物；动物产品,88.3,87.8,77.5
01,第1章活动物,122.5,16.0,19.7
02,第2章肉及食用杂碎,83.5,87.6,73.1
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,96.5,88.3,85.2
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,87.1,92.1,80.2
05,第5章其他动物产品,84.2,104.5,88.0
2类,第二类 植物产品,90.8,112.8,102.4
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,94.3,131.5,124.0
07,第7章食用蔬菜、根及块茎,92.1,155.4,143.1
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,111.0,82.1,91.1
09,第9章咖啡、茶、马黛茶及调味香料,93.7,126.8,118.8
10,第10章谷物,87.2,239.5,208.9
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,116.9,97.7,114.1
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,87.3,98.9,86.4
13,第13章虫胶；树胶、树脂及其他植物液、汁,83.0,82.7,68.7
14,第14章编结用植物材料；其他植物产品,114.6,131.3,150.5
3类,第三类 动、植物油、脂、蜡；精制食用油脂,82.3,101.6,83.6
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,82.3,101.6,83.6
4类,第四类 食品；饮料、酒及醋；烟草及制品,114.0,90.6,103.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,95.8,105.5,101.0
17,第17章糖及糖食,124.7,104.0,129.7
18,第18章可可及可可制品,109.9,106.8,117.4
