表十五 2024年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年11月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Nov. 2024","Table 15 Index Number of Imports by BEC,Nov. 2024","Table 15 Index Number of Imports by BEC,Nov. 2024","Table 15 Index Number of Imports by BEC,Nov. 2024","Table 15 Index Number of Imports by BEC,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,95.4,90.7,86.5
111,中间品,91.8,81.2,74.5
1111,初级品,89.5,81.5,73.0
1112,加工品,97.5,80.1,78.1
112,资本品,111.4,64.6,72.0
113,消费品,100.1,107.5,107.5
1131,初级品,100.0,107.1,107.1
1132,加工品,100.5,110.8,111.3
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,90.6,102.9,93.2
211,中间品,90.3,103.2,93.2
2111,初级品,88.0,107.1,94.2
2112,加工品,100.5,88.5,88.9
212,资本品,95.5,97.7,93.3
213,消费品,95.9,98.1,94.0
2131,初级品,95.9,98.1,94.0
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,105.0,93.9,98.6
311,中间品,106.4,93.9,100.0
3111,初级品,81.5,93.0,75.8
3112,加工品,108.3,93.9,101.6
312,资本品,99.0,94.4,93.5
313,消费品,99.5,92.7,92.2
3131,初级品,96.8,109.1,105.5
3132,加工品,100.3,88.8,89.0
4,纺织品、服装、鞋,120.7,80.7,97.3
411,中间品,124.9,79.5,99.3
4111,初级品,94.2,48.6,45.8
4112,加工品,126.5,81.4,102.9
412,资本品,97.4,88.0,85.7
413,消费品,96.0,89.4,85.9
4131,初级品,99.4,222.0,220.7
4132,加工品,96.0,89.4,85.8
5,运输设备和服务、旅行、邮政服务,100.7,89.4,90.1
511,中间品,101.9,98.6,100.5
5111,初级品,108.4,70.7,76.7
5112,加工品,101.9,98.7,100.6
512,资本品,114.4,86.8,99.3
513,消费品,96.8,74.8,72.4
5132,加工品,96.8,74.8,72.4
6,信息和通信技术、媒体、计算机、商业和金融服务,92.4,109.2,100.9
611,中间品,91.0,107.9,98.2
6112,加工品,91.0,107.9,98.2
612,资本品,101.4,112.7,114.3
613,消费品,91.1,112.4,102.4
6131,初级品,133.2,121.3,161.6
6132,加工品,90.9,112.5,102.3
7,健康、制药、教育、文化、体育,108.5,87.1,94.6
711,中间品,111.8,86.4,96.6
7112,加工品,111.8,86.4,96.6
712,资本品,108.6,83.3,90.5
713,消费品,105.4,90.1,95.0
7131,初级品,106.6,87.0,92.8
7132,加工品,104.8,91.7,96.1
8,政府、军队和其他,98.6,91.4,90.2
811,中间品,94.1,105.3,99.0
8112,加工品,94.1,105.3,99.0
812,资本品,107.4,75.7,81.3
813,消费品,102.5,83.3,85.3
8132,加工品,102.5,84.7,86.8
