表十六 2025年2月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年2月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年2月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年2月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry, Feb. 2025","Table 16 Index Number of Imports by Industry, Feb. 2025","Table 16 Index Number of Imports by Industry, Feb. 2025","Table 16 Index Number of Imports by Industry, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,88.0,90.9,80.0
农业,86.8,85.8,74.4
林业,108.3,137.4,148.9
畜牧业,91.9,75.9,69.8
渔业,78.5,114.3,89.7
采矿业,93.8,98.8,92.7
煤炭开采和洗选业,78.5,103.3,81.0
石油和天然气开采业,96.5,95.2,91.8
黑色金属矿采选业,79.4,97.7,77.6
有色金属矿采选业,113.7,110.9,126.2
非金属矿采选业,100.1,106.1,106.2
制造业,101.9,107.1,109.1
消费品制造业,103.1,106.6,109.9
农副食品加工业,102.9,102.9,105.8
食品制造业,115.8,114.0,132.1
酒、饮料和精制茶制造业,108.6,112.7,122.4
烟草制品业,109.9,75.0,82.4
纺织业,98.7,102.4,101.1
纺织服装、服饰业,87.6,113.8,99.7
皮革、毛皮、羽毛及其制品和制鞋业,93.9,97.5,91.5
家具制造业,109.2,120.3,131.3
造纸和纸制品业,98.8,108.2,106.9
印刷和记录媒介复制业,107.0,108.2,115.8
文教、工美、体育和娱乐用品制造业,103.3,103.9,107.3
医药制造业,107.8,108.3,116.8
化学纤维制造业,106.5,109.4,116.5
原材料制造业,110.7,92.1,101.9
石油、煤炭及其他燃料加工业,99.1,106.4,105.4
化学原料和化学制品制造业,99.4,113.9,113.2
非金属矿物制品业,107.8,90.7,97.7
黑色金属冶炼和压延加工业,96.1,103.3,99.3
有色金属冶炼和压延加工业,126.6,73.3,92.9
装备制造业,96.9,116.9,113.2
金属制品业,102.2,114.3,116.8
通用设备制造业,103.5,116.1,120.2
专用设备制造业,95.3,111.0,105.7
汽车制造业,92.7,78.1,72.4
铁路、船舶、航空航天和其他运输设备制造业,127.2,192.4,244.8
电气机械和器材制造业,100.3,109.7,110.1
计算机、通信和其他电子设备制造业,94.5,121.9,115.2
仪器仪表制造业,109.7,108.0,118.4
木材加工和木、竹、藤、棕、草制品业,102.0,93.2,95.1
橡胶和塑料制品业,98.4,111.6,109.8
其他制造业,90.5,62.6,56.6
废弃资源综合利用业,108.0,129.4,139.7
电力、热力、燃气及水生产和供应业,89.3,188.0,167.9
电力、热力生产和供应业,89.3,188.0,167.9
文化、体育和娱乐业,119.2,119.7,142.7
新闻和出版业,119.2,119.7,142.7
