表三 2025年5月份全国出口商品贸易同比指数（BEC分类）,表三 2025年5月份全国出口商品贸易同比指数（BEC分类）,表三 2025年5月份全国出口商品贸易同比指数（BEC分类）,表三 2025年5月份全国出口商品贸易同比指数（BEC分类）,表三 2025年5月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,May 2025","Table 3 Index Number of Exports by BEC,May 2025","Table 3 Index Number of Exports by BEC,May 2025","Table 3 Index Number of Exports by BEC,May 2025","Table 3 Index Number of Exports by BEC,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,98.4,107.6,105.8
111,中间品,101.7,102.0,103.7
1111,初级品,94.9,116.7,110.7
1112,加工品,103.5,98.3,101.7
112,资本品,106.2,111.0,117.8
113,消费品,95.0,109.2,103.8
1131,初级品,94.8,110.5,104.8
1132,加工品,95.5,106.9,102.1
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,96.1,105.6,101.5
211,中间品,94.3,108.6,102.4
2111,初级品,96.2,113.0,108.7
2112,加工品,94.2,108.4,102.0
212,资本品,104.1,111.1,115.7
213,消费品,91.2,82.3,75.0
2131,初级品,91.2,82.3,75.0
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,97.3,107.5,104.6
311,中间品,97.6,111.0,108.4
3111,初级品,99.2,94.8,94.1
3112,加工品,97.6,111.2,108.5
312,资本品,98.3,110.9,108.9
313,消费品,96.2,99.6,95.8
3131,初级品,99.4,119.2,118.5
3132,加工品,96.1,98.8,95.0
4,纺织品、服装、鞋,96.6,106.2,102.6
411,中间品,97.5,107.4,104.8
4111,初级品,86.4,80.6,69.7
4112,加工品,97.5,107.5,104.8
412,资本品,101.3,124.6,126.2
413,消费品,96.0,104.9,100.8
4131,初级品,94.8,109.1,103.5
4132,加工品,96.0,104.9,100.8
5,运输设备和服务、旅行、邮政服务,96.4,113.9,109.8
511,中间品,96.9,114.4,110.9
5111,初级品,94.8,112.6,106.7
5112,加工品,96.9,114.4,110.9
512,资本品,97.9,110.3,108.0
513,消费品,94.1,116.1,109.3
5132,加工品,94.1,116.1,109.3
6,信息和通信技术、媒体、计算机、商业和金融服务,99.2,107.3,106.4
611,中间品,105.2,114.8,120.8
6112,加工品,105.2,114.8,120.8
612,资本品,96.1,98.8,94.9
613,消费品,88.7,102.4,90.9
6131,初级品,90.7,91.3,82.9
6132,加工品,88.7,102.4,90.9
7,健康、制药、教育、文化、体育,97.0,107.5,104.3
711,中间品,103.4,104.2,107.7
7111,初级品,103.6,70.1,72.6
7112,加工品,103.4,104.2,107.8
712,资本品,97.2,106.0,103.0
713,消费品,94.6,109.2,103.3
7131,初级品,92.5,115.1,106.4
7132,加工品,94.9,108.5,102.9
8,政府、军队和其他,92.4,103.5,95.6
811,中间品,94.0,91.9,86.4
8112,加工品,94.0,91.9,86.4
812,资本品,89.9,132.1,118.7
813,消费品,85.3,118.2,100.8
8131,初级品,92.9,153.9,143.0
8132,加工品,84.9,116.3,98.8
