表四 2025年6月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年6月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年6月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年6月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,June 2025","Table 4 Index Number of Exports by Industry,June 2025","Table 4 Index Number of Exports by Industry,June 2025","Table 4 Index Number of Exports by Industry,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,86.5,96.1,83.1
农业,85.0,95.2,80.9
林业,103.8,179.2,186.0
畜牧业,91.6,105.3,96.4
渔业,100.5,94.2,94.6
采矿业,91.9,149.5,137.4
煤炭开采和洗选业,86.0,160.0,137.6
石油和天然气开采业,96.2,369.5,355.4
黑色金属矿采选业,86.0,50.6,43.5
有色金属矿采选业,100.5,71.2,71.6
非金属矿采选业,90.1,103.2,93.0
制造业,100.6,106.6,107.2
消费品制造业,100.1,102.0,102.1
农副食品加工业,99.6,100.6,100.2
食品制造业,98.0,106.9,104.8
酒、饮料和精制茶制造业,98.1,127.9,125.4
烟草制品业,99.4,55.5,55.2
纺织业,96.9,102.9,99.7
纺织服装、服饰业,100.7,102.1,102.8
皮革、毛皮、羽毛及其制品和制鞋业,100.2,97.8,97.9
家具制造业,108.3,94.5,102.4
造纸和纸制品业,93.3,106.1,98.9
印刷和记录媒介复制业,93.1,91.2,84.9
文教、工美、体育和娱乐用品制造业,103.8,105.9,109.9
医药制造业,94.0,108.6,102.1
化学纤维制造业,91.4,116.4,106.4
原材料制造业,99.1,101.6,100.7
石油、煤炭及其他燃料加工业,94.2,91.5,86.2
化学原料和化学制品制造业,97.0,105.0,101.9
非金属矿物制品业,107.6,101.8,109.6
黑色金属冶炼和压延加工业,92.6,112.6,104.2
有色金属冶炼和压延加工业,108.3,89.1,96.5
装备制造业,101.3,108.5,110.0
金属制品业,98.4,107.5,105.8
通用设备制造业,101.4,107.0,108.6
专用设备制造业,101.1,113.8,115.1
汽车制造业,98.9,118.2,117.0
铁路、船舶、航空航天和其他运输设备制造业,103.9,125.8,130.7
电气机械和器材制造业,104.3,103.0,107.4
计算机、通信和其他电子设备制造业,100.0,108.0,107.9
仪器仪表制造业,109.5,98.9,108.4
木材加工和木、竹、藤、棕、草制品业,96.8,101.6,98.3
橡胶和塑料制品业,99.3,102.1,101.4
其他制造业,93.8,135.3,126.9
废弃资源综合利用业,88.7,112.8,100.1
电力、热力、燃气及水生产和供应业,95.8,105.5,101.0
电力、热力生产和供应业,95.8,105.5,101.0
文化、体育和娱乐业,96.1,152.6,146.7
新闻和出版业,96.1,152.6,146.7
