表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Oct. 2023","Table 1 Index Number of Exports by HS2,Oct. 2023","Table 1 Index Number of Exports by HS2,Oct. 2023","Table 1 Index Number of Exports by HS2,Oct. 2023","Table 1 Index Number of Exports by HS2,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,90.3,107.4,96.9
1类,第一类 活动物；动物产品,92.4,96.2,88.9
01,第1章活动物,73.8,105.7,78.0
02,第2章肉及食用杂碎,94.7,129.8,122.8
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,92.7,92.2,85.5
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,97.2,125.0,121.5
05,第5章其他动物产品,93.7,92.5,86.7
2类,第二类 植物产品,98.5,112.4,110.6
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,93.1,109.8,102.3
07,第7章食用蔬菜、根及块茎,107.4,111.7,119.9
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,91.2,126.3,115.1
09,第9章咖啡、茶、马黛茶及调味香料,90.4,115.6,104.4
10,第10章谷物,132.0,78.3,103.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,92.3,65.1,60.1
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,105.8,125.6,132.9
13,第13章虫胶；树胶、树脂及其他植物液、汁,75.3,97.7,73.6
14,第14章编结用植物材料；其他植物产品,88.2,127.0,112.0
3类,第三类 动、植物油、脂、蜡；精制食用油脂,86.4,179.5,155.0
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,86.4,179.5,155.0
4类,第四类 食品；饮料、酒及醋；烟草及制品,93.0,111.1,103.3
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,97.0,106.6,103.4
17,第17章糖及糖食,100.9,128.9,130.0
18,第18章可可及可可制品,97.9,105.0,102.8
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,105.4,105.6,111.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,99.5,95.9,95.4
21,第21章杂项食品,85.7,111.6,95.7
22,第22章饮料、酒及醋,102.1,106.1,108.3
23,第23章食品工业的残渣及废料；配制的动物饲料,85.9,129.9,111.5
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,82.5,124.8,103.0
5类,第五类 矿产品,94.1,108.3,101.9
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,85.1,107.1,91.2
26,第26章矿砂、矿渣及矿灰,100.5,104.5,105.0
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,94.4,108.6,102.5
6类,第六类 化学工业及其相关工业的产品,82.4,101.1,83.3
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,84.3,89.4,75.3
29,第29章有机化学品,86.6,95.1,82.4
30,第30章药品,84.6,97.0,82.1
31,第31章肥料,67.7,100.8,68.3
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,89.0,116.2,103.4
33,第33章精油及香膏；芳香料制品及化妆盥洗品,95.3,118.5,112.9
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,84.3,125.9,106.1
35,第35章蛋白类物质；改性淀粉；胶；酶,86.8,109.7,95.1
36,第36章炸药；烟火制品；引火合金；易燃材料制品,99.9,132.8,132.7
37,第37章照相及电影用品,96.0,107.1,102.8
38,第38章杂项化学产品,72.6,114.5,83.2
7类,第七类 塑料及其制品；橡胶及其制品,84.0,116.9,98.2
39,第39章塑料及其制品,81.5,117.7,96.0
40,第40章橡胶及其制品,95.0,113.7,107.9
8类,第八类 革、毛皮及制品；箱包；肠线制品,83.9,107.0,89.8
41,第41章生皮（毛皮除外）及皮革,93.6,134.0,125.5
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,83.7,109.2,91.4
43,第43章毛皮、人造毛皮及其制品,83.8,65.3,54.7
9类,第九类 木及制品；木炭；软木；编结品,92.9,108.4,100.7
44,第44章木及木制品；木炭,92.7,107.9,100.1
45,第45章软木及软木制品,74.8,274.1,205.1
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,95.4,110.7,105.6
10类,第十类 木浆等；废纸；纸、纸板及其制品,78.2,113.9,89.1
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,75.1,102.5,77.0
48,第48章纸及纸板；纸浆、纸或纸板制品,77.7,112.9,87.8
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,82.8,123.6,102.4
11类,第十一类 纺织原料及纺织制品,93.0,104.1,96.8
50,第50章蚕丝,102.0,87.7,89.5
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,101.4,81.1,82.2
52,第52章棉花,94.8,94.3,89.5
53,第53章其他植物纺织纤维；纸纱线及其机织物,103.0,124.7,128.4
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,96.6,104.8,101.2
55,第55章化学纤维短纤,93.0,106.5,99.0
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,89.7,108.0,96.9
57,第57章地毯及纺织材料的其他铺地制品,83.2,121.4,101.0
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,90.9,112.0,101.8
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,93.7,103.3,96.8
60,第60章针织物及钩编织物,91.9,112.9,103.7
61,第61章针织或钩编的服装及衣着附件,92.0,106.0,97.6
62,第62章非针织或非钩编的服装及衣着附件,94.5,97.5,92.2
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,90.2,106.8,96.3
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,82.4,99.4,81.9
64,第64章鞋靴、护腿和类似品及其零件,84.4,98.1,82.8
65,第65章帽类及其零件,81.8,100.0,81.8
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,87.6,93.8,82.1
