表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）,表一 2023年10月份全国出口商品贸易同比指数（HS2分类）
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,72.6,107.3,77.9
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,77.5,103.8,80.5
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,75.9,93.9,71.3
69,第69章陶瓷产品,71.5,102.4,73.2
70,第70章玻璃及其制品,86.1,111.8,96.3
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,87.4,120.8,105.6
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,87.4,120.8,105.6
15类,第十五类 贱金属及其制品,83.6,112.6,94.2
72,第72章钢铁,81.4,141.3,115.0
73,第73章钢铁制品,77.5,106.5,82.6
74,第74章铜及其制品,102.1,114.6,117.1
75,第75章镍及其制品,101.7,207.0,210.6
76,第76章铝及其制品,92.4,97.7,90.3
78,第78章铅及其制品,93.3,462.3,431.3
79,第79章锌及其制品,93.2,41.8,38.9
80,第80章锡及其制品,122.4,129.4,158.4
81,第81章其他贱金属、金属陶瓷及其制品,91.1,94.8,86.3
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,91.9,106.1,97.5
83,第83章贱金属杂项制品,84.4,107.4,90.6
16类,第十六类 机电、音像设备及其零件、附件,93.2,103.1,96.0
84,第84章核反应堆、锅炉、机器、机械器具及零件,90.7,101.8,92.3
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,94.5,103.8,98.0
17类,第十七类 车辆、航空器、船舶及运输设备,98.9,126.5,125.1
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,94.0,101.0,94.9
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,97.2,128.6,125.0
88,第88章航空器、航天器及其零件,122.6,140.1,171.9
89,第89章船舶及浮动结构体,111.3,118.2,131.5
18类,第十八类 光学、医疗等仪器；钟表；乐器,95.8,101.5,97.2
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,96.1,100.9,97.0
91,第91章钟表及其零件,95.6,106.8,102.1
92,第92章乐器及其零件、附件,87.6,108.8,95.3
19类,第十九类 武器、弹药及其零件、附件,128.7,92.5,119.0
93,第93章武器、弹药及其零件、附件,128.7,92.5,119.0
20类,第二十类 杂项制品,82.7,110.8,91.6
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,79.7,119.8,95.5
95,第95章玩具、游戏品、运动用品及其零件、附件,85.2,99.5,84.8
96,第96章杂项制品,87.6,113.1,99.1
21类,第二十一类 艺术品、收藏品及古物,126.5,111.8,141.5
97,第97章艺术品、收藏品及古物,126.5,111.8,141.5
98,第98章特殊交易品及未分类商品,99.8,152.8,152.5
