表三 2023年9月份全国出口商品贸易同比指数（BEC分类）,表三 2023年9月份全国出口商品贸易同比指数（BEC分类）,表三 2023年9月份全国出口商品贸易同比指数（BEC分类）,表三 2023年9月份全国出口商品贸易同比指数（BEC分类）,表三 2023年9月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Sept. 2023","Table 3 Index Number of Exports by BEC,Sept. 2023","Table 3 Index Number of Exports by BEC,Sept. 2023","Table 3 Index Number of Exports by BEC,Sept. 2023","Table 3 Index Number of Exports by BEC,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
1,食品和饮料,98.2,111.8,109.7
11,初级品,95.0,111.3,105.7
111,主要用于工业,102.5,103.1,105.7
112,主要用于家庭消费,94.2,112.2,105.7
12,加工品,99.7,112.0,111.7
121,主要用于工业,100.1,114.1,114.2
122,主要用于家庭消费,99.6,111.9,111.5
2,未列名的工业供应品,88.8,109.4,97.1
21,初级品,92.0,93.7,86.2
22,加工品,88.7,109.7,97.3
3,燃料和润滑油,85.3,88.3,75.3
31,初级品,82.5,48.2,39.7
32,加工品,85.8,94.0,80.6
321,车用,86.7,98.6,85.5
322,其他,78.4,68.7,53.8
4,资本货品(运输设备除外)及其零件和附件,92.0,103.6,95.2
41,资本货品(运输设备除外),91.5,103.2,94.4
42,零件和附件,93.2,104.5,97.4
5,运输设备及其零件和附件,105.5,113.3,119.6
51,机动小客车,108.2,155.3,168.0
52,其他,95.0,100.9,95.8
521,工业用,96.5,97.8,94.4
522,非工业用,90.0,112.6,101.3
53,零件和附件,109.7,107.2,117.6
6,未列名的消费品,89.4,113.3,101.3
61,耐用品,89.2,121.1,108.0
62,半耐用品,89.9,108.9,97.9
63,非耐用品,87.8,119.7,105.1
7,未列名的货品,122.8,110.9,136.2
