表十五 2023年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年11月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年11月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Nov. 2023","Table 15 Index Number of Imports by BEC,Nov. 2023","Table 15 Index Number of Imports by BEC,Nov. 2023","Table 15 Index Number of Imports by BEC,Nov. 2023","Table 15 Index Number of Imports by BEC,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
1,食品和饮料,90.4,95.1,85.9
11,初级品,88.4,105.7,93.4
111,主要用于工业,86.3,109.8,94.8
112,主要用于家庭消费,96.9,91.0,88.2
12,加工品,92.3,86.3,79.6
121,主要用于工业,87.8,82.3,72.2
122,主要用于家庭消费,93.7,87.6,82.2
2,未列名的工业供应品,106.1,99.6,105.6
21,初级品,108.0,105.2,113.6
22,加工品,105.5,98.0,103.3
3,燃料和润滑油,89.8,101.2,90.8
31,初级品,92.6,97.5,90.3
32,加工品,79.8,116.6,93.1
321,车用,82.8,151.7,125.6
322,其他,79.6,105.8,84.2
4,资本货品(运输设备除外)及其零件和附件,101.9,104.4,106.3
41,资本货品(运输设备除外),103.2,112.0,115.6
42,零件和附件,100.3,93.6,93.8
5,运输设备及其零件和附件,97.9,103.8,101.7
51,机动小客车,92.5,119.6,110.6
52,其他,93.9,58.8,55.2
521,工业用,91.8,59.2,54.3
522,非工业用,99.6,60.3,60.1
53,零件和附件,104.8,101.1,105.9
6,未列名的消费品,95.5,99.2,94.7
61,耐用品,110.2,93.8,103.3
62,半耐用品,97.7,106.2,103.8
63,非耐用品,90.2,96.6,87.1
7,未列名的货品,107.4,115.4,123.9
