表三 2024年11月份全国出口商品贸易同比指数（BEC分类）,表三 2024年11月份全国出口商品贸易同比指数（BEC分类）,表三 2024年11月份全国出口商品贸易同比指数（BEC分类）,表三 2024年11月份全国出口商品贸易同比指数（BEC分类）,表三 2024年11月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Nov. 2024","Table 3 Index Number of Exports by BEC,Nov. 2024","Table 3 Index Number of Exports by BEC,Nov. 2024","Table 3 Index Number of Exports by BEC,Nov. 2024","Table 3 Index Number of Exports by BEC,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,95.1,113.1,107.6
111,中间品,96.6,108.0,104.3
1111,初级品,96.0,105.1,101.0
1112,加工品,96.8,108.9,105.4
112,资本品,99.5,119.2,118.7
113,消费品,93.6,114.4,107.0
1131,初级品,93.3,115.5,107.8
1132,加工品,93.9,112.3,105.5
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,93.4,108.1,100.9
211,中间品,93.8,108.6,101.8
2111,初级品,92.3,113.2,104.5
2112,加工品,93.9,108.3,101.7
212,资本品,98.4,110.6,108.8
213,消费品,85.7,99.9,85.6
2131,初级品,85.7,99.9,85.6
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,93.2,115.3,107.4
311,中间品,93.5,115.0,107.5
3111,初级品,102.5,98.3,100.8
3112,加工品,93.4,115.1,107.5
312,资本品,96.9,118.1,114.5
313,消费品,90.3,113.6,102.6
3131,初级品,96.9,114.5,110.9
3132,加工品,90.1,113.6,102.3
4,纺织品、服装、鞋,94.7,111.5,105.5
411,中间品,98.5,119.4,117.6
4111,初级品,86.4,141.9,122.5
4112,加工品,98.6,119.4,117.6
412,资本品,95.5,117.3,112.0
413,消费品,92.7,107.3,99.4
4131,初级品,95.4,100.3,95.7
4132,加工品,92.7,107.3,99.4
5,运输设备和服务、旅行、邮政服务,91.6,114.0,104.4
511,中间品,91.0,115.4,105.0
5111,初级品,105.5,83.8,88.4
5112,加工品,91.0,115.4,105.0
512,资本品,100.7,117.2,118.0
513,消费品,86.9,107.8,93.7
5132,加工品,86.9,107.8,93.7
6,信息和通信技术、媒体、计算机、商业和金融服务,99.0,106.1,105.0
611,中间品,95.3,113.5,108.2
6112,加工品,95.3,113.5,108.2
612,资本品,105.1,100.1,105.3
613,消费品,98.3,101.9,100.1
6131,初级品,88.8,106.6,94.7
6132,加工品,98.3,101.9,100.1
7,健康、制药、教育、文化、体育,94.6,113.1,107.0
711,中间品,101.2,110.1,111.4
7111,初级品,112.5,65.1,73.2
7112,加工品,101.1,110.2,111.4
712,资本品,97.9,112.4,110.0
713,消费品,91.3,114.4,104.5
7131,初级品,92.0,119.5,110.0
7132,加工品,91.2,113.9,103.8
8,政府、军队和其他,98.5,109.6,108.0
811,中间品,95.9,112.0,107.4
8112,加工品,95.9,112.0,107.4
812,资本品,108.0,99.7,107.7
813,消费品,86.2,134.2,115.7
8131,初级品,91.3,128.7,117.5
8132,加工品,85.8,134.7,115.6
