表二 2025年5月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年5月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年5月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年5月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年5月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,May 2025","Table 2 Index Number of Exports by SITC2,May 2025","Table 2 Index Number of Exports by SITC2,May 2025","Table 2 Index Number of Exports by SITC2,May 2025","Table 2 Index Number of Exports by SITC2,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,94.7,100.0,94.7
0,食品及活动物,95.2,108.6,103.4
00,活动物（03章动物除外）,92.6,99.3,91.9
01,肉及肉制品,95.7,126.9,121.4
02,乳品及蛋品,96.7,151.1,146.1
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,100.6,103.7,104.3
04,谷物及谷物制品,86.3,128.4,110.9
05,蔬菜及水果,90.3,108.1,97.6
06,糖、糖制品及蜂蜜,98.9,103.2,102.1
07,咖啡、茶、马黛茶、调味香料及其制品,93.9,107.4,100.8
08,动物饲料（不包括未碾磨谷物）,97.9,102.0,99.8
09,杂项食品,99.1,113.6,112.6
1,饮料及烟类,96.1,126.1,121.2
11,饮料,93.0,120.8,112.4
12,烟草及烟草制品,107.9,145.5,157.0
2,非食用原料（燃料除外）,95.4,107.5,102.5
21,生皮及生毛皮,101.3,133.5,135.2
22,含油子仁及果实,91.6,118.8,108.8
23,生橡胶（包括合成橡胶及再生橡胶）,99.1,115.7,114.7
24,软木及木材,89.3,112.4,100.4
25,纸浆及废纸,89.6,113.8,102.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,95.4,95.9,91.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,92.4,101.5,93.8
28,金属矿砂及金属废料,90.3,122.1,110.3
29,其他动、植物原料,101.1,102.7,103.8
3,矿物燃料、润滑油及有关原料,91.3,88.0,80.3
32,煤、焦炭及煤砖,76.5,111.8,85.5
33,石油、石油产品及有关原料,91.4,85.4,78.1
34,天然气及人造气,101.8,84.1,85.6
35,电力,92.4,164.1,151.6
4,动、植物油、脂及蜡,114.5,64.7,74.1
41,动物油、脂,97.6,69.2,67.5
42,初榨、精制或分离的固定植物油、脂,91.8,232.3,213.1
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,122.1,53.3,65.1
5-9,工业制品,98.8,108.0,106.8
5,化学品及有关产品,95.1,107.6,102.4
51,有机化学品,93.3,105.1,98.1
52,无机化学品,92.5,87.5,81.0
53,染料、鞣料及着色料,92.3,101.7,93.9
54,医药品,100.4,118.1,118.6
55,精油、香膏及芳香料;盥洗及光洁制品,98.4,113.8,112.0
56,肥料（272组货品除外）,109.4,87.8,96.0
57,初级形状的塑料,93.3,123.9,115.6
58,非初级形状的塑料,94.2,116.8,110.0
59,未列名化学原料及产品,96.5,104.1,100.5
6,按原料分类的制成品,95.1,109.3,103.9
61,皮革、皮革制品及已鞣毛皮,95.1,107.3,102.0
62,橡胶制品,99.0,111.4,110.3
63,软木及木制品（家俱除外）,94.8,111.1,105.3
64,纸、纸板及纸浆、纸或纸板制品,91.5,111.5,102.0
65,纺织纱线、织物未列名制品及有关产品,94.6,105.6,99.9
66,未列名非金属矿物制品,97.2,103.2,100.3
67,钢铁,91.2,119.0,108.5
68,有色金属,104.5,93.9,98.2
69,未列名金属制品,94.2,114.0,107.3
7,机械及运输设备,99.4,109.6,109.0
71,动力机械及设备,97.0,122.5,118.9
72,特种工业专用机械,100.6,119.2,119.9
73,金工机械,106.2,115.6,122.8
74,通用工业机械设备及零件,99.0,109.2,108.1
75,办公室用机械及自动数据处理设备,95.5,102.2,97.6
76,电信及声音的录制或重放装置及设备,96.2,100.5,96.7
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,102.8,111.6,114.7
78,陆路车辆（包括气垫式）,95.8,115.1,110.2
79,其他运输设备,112.0,105.4,118.0
8,杂项制品,95.4,105.2,100.3
81,活动房屋;卫生、水道、供热及照明装置,92.3,104.3,96.3
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,96.1,96.2,92.5
83,旅行用品、手提包及类似容器,89.9,101.6,91.3
84,服装及衣着附件,94.8,110.2,104.5
85,鞋靴,95.8,101.2,96.9
87,专业、科学及控制用仪器及设备,101.3,105.6,107.0
88,摄影器材及光学物品;钟表,103.1,99.7,102.9
89,未列名杂项制品,95.4,107.0,102.0
9,未分类的商品及交易品,148.5,96.0,142.6
97,金，非货币（不包括黄金矿砂及精矿）,143.4,115.0,164.9
98,其他,149.0,94.2,140.4
