表十五 2023年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年10月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Oct. 2023","Table 15 Index Number of Imports by BEC,Oct. 2023","Table 15 Index Number of Imports by BEC,Oct. 2023","Table 15 Index Number of Imports by BEC,Oct. 2023","Table 15 Index Number of Imports by BEC,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,食品和饮料,91.2,109.2,99.7
11,初级品,89.3,126.0,112.5
111,主要用于工业,86.8,120.8,104.8
112,主要用于家庭消费,96.3,140.3,135.1
12,加工品,92.6,98.8,91.5
121,主要用于工业,90.8,127.7,115.9
122,主要用于家庭消费,93.2,91.1,84.9
2,未列名的工业供应品,98.9,105.0,103.9
21,初级品,108.2,119.5,129.3
22,加工品,96.4,101.3,97.7
3,燃料和润滑油,91.5,118.4,108.4
31,初级品,94.8,114.8,108.8
32,加工品,77.3,137.6,106.4
321,车用,91.4,175.2,160.3
322,其他,72.5,125.0,90.6
4,资本货品(运输设备除外)及其零件和附件,101.9,112.2,114.3
41,资本货品(运输设备除外),103.1,123.5,127.3
42,零件和附件,100.4,96.0,96.4
5,运输设备及其零件和附件,102.1,107.8,110.1
51,机动小客车,100.2,117.2,117.5
52,其他,98.2,72.9,71.6
521,工业用,97.2,71.6,69.7
522,非工业用,102.1,78.5,80.2
53,零件和附件,105.3,106.3,111.9
6,未列名的消费品,97.4,104.1,101.4
61,耐用品,107.0,106.2,113.6
62,半耐用品,103.1,111.0,114.4
63,非耐用品,92.2,98.4,90.7
7,未列名的货品,152.9,122.4,187.1
