表十五 2023年9月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年9月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年9月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年9月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年9月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Sept. 2023","Table 15 Index Number of Imports by BEC,Sept. 2023","Table 15 Index Number of Imports by BEC,Sept. 2023","Table 15 Index Number of Imports by BEC,Sept. 2023","Table 15 Index Number of Imports by BEC,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
1,食品和饮料,91.0,102.0,92.9
11,初级品,88.7,110.5,98.0
111,主要用于工业,86.1,100.5,86.5
112,主要用于家庭消费,98.6,152.1,149.9
12,加工品,93.3,94.8,88.4
121,主要用于工业,89.3,105.8,94.5
122,主要用于家庭消费,94.5,91.8,86.7
2,未列名的工业供应品,100.7,96.9,97.6
21,初级品,106.8,106.5,113.8
22,加工品,99.0,94.5,93.5
3,燃料和润滑油,86.2,118.7,102.3
31,初级品,90.3,116.2,104.9
32,加工品,72.1,128.0,92.3
321,车用,75.9,231.8,175.9
322,其他,73.3,102.3,75.0
4,资本货品(运输设备除外)及其零件和附件,99.9,101.6,101.5
41,资本货品(运输设备除外),104.0,108.7,113.0
42,零件和附件,95.2,89.7,85.4
5,运输设备及其零件和附件,108.3,95.7,103.6
51,机动小客车,105.9,91.2,96.5
52,其他,104.1,81.8,85.1
521,工业用,108.2,79.7,86.3
522,非工业用,100.1,79.8,79.8
53,零件和附件,111.1,103.7,115.2
6,未列名的消费品,98.8,102.2,101.0
61,耐用品,115.7,105.9,122.5
62,半耐用品,108.3,94.9,102.8
63,非耐用品,88.9,105.1,93.5
7,未列名的货品,113.0,125.2,141.5
