表三 2024年12月份全国出口商品贸易同比指数（BEC分类）,表三 2024年12月份全国出口商品贸易同比指数（BEC分类）,表三 2024年12月份全国出口商品贸易同比指数（BEC分类）,表三 2024年12月份全国出口商品贸易同比指数（BEC分类）,表三 2024年12月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Dec. 2024","Table 3 Index Number of Exports by BEC,Dec. 2024","Table 3 Index Number of Exports by BEC,Dec. 2024","Table 3 Index Number of Exports by BEC,Dec. 2024","Table 3 Index Number of Exports by BEC,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,96.4,119.5,115.3
111,中间品,94.7,112.4,106.4
1111,初级品,94.2,124.2,116.9
1112,加工品,94.8,108.4,102.8
112,资本品,104.7,123.4,129.2
113,消费品,95.6,121.7,116.3
1131,初级品,96.5,121.1,116.8
1132,加工品,93.8,122.8,115.2
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,93.7,115.5,108.2
211,中间品,92.6,120.4,111.5
2111,初级品,83.1,114.9,95.5
2112,加工品,93.3,120.8,112.7
212,资本品,98.9,122.6,121.3
213,消费品,89.9,78.3,70.4
2131,初级品,89.9,78.3,70.4
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,94.2,119.8,112.9
311,中间品,94.3,121.1,114.2
3111,初级品,101.5,114.3,116.1
3112,加工品,94.2,121.2,114.2
312,资本品,99.6,118.7,118.3
313,消费品,90.8,118.2,107.3
3131,初级品,94.8,131.5,124.7
3132,加工品,90.6,117.8,106.7
4,纺织品、服装、鞋,94.1,118.0,111.0
411,中间品,97.3,130.8,127.3
4111,初级品,108.4,133.1,144.2
4112,加工品,97.3,130.8,127.3
412,资本品,95.4,127.0,121.2
413,消费品,92.5,111.9,103.4
4131,初级品,100.2,92.2,92.4
4132,加工品,92.4,111.9,103.5
5,运输设备和服务、旅行、邮政服务,92.5,129.4,119.8
511,中间品,93.3,122.1,113.9
5111,初级品,101.6,77.3,78.5
5112,加工品,93.3,122.1,113.9
512,资本品,98.2,153.4,150.6
513,消费品,87.4,124.8,109.0
5132,加工品,87.4,124.8,109.0
6,信息和通信技术、媒体、计算机、商业和金融服务,96.8,105.3,101.9
611,中间品,93.5,112.1,104.8
6112,加工品,93.5,112.1,104.8
612,资本品,103.5,104.2,107.9
613,消费品,94.7,94.1,89.2
6131,初级品,76.9,100.2,77.1
6132,加工品,94.7,94.1,89.2
7,健康、制药、教育、文化、体育,93.8,115.5,108.3
711,中间品,98.7,118.6,117.1
7111,初级品,76.2,149.5,113.9
7112,加工品,98.7,118.6,117.1
712,资本品,97.8,119.4,116.8
713,消费品,91.0,112.9,102.8
7131,初级品,89.7,128.2,115.0
7132,加工品,91.2,111.3,101.5
8,政府、军队和其他,94.5,122.4,115.7
811,中间品,97.0,133.3,129.3
8112,加工品,97.0,133.3,129.3
812,资本品,92.0,109.1,100.3
813,消费品,82.9,96.4,79.9
8131,初级品,106.5,109.4,116.5
8132,加工品,81.8,95.7,78.3
