表十六 2025年6月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年6月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年6月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年6月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,June 2025","Table 16 Index Number of Imports by Industry,June 2025","Table 16 Index Number of Imports by Industry,June 2025","Table 16 Index Number of Imports by Industry,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,94.2,99.6,93.8
农业,93.5,99.5,93.1
林业,102.6,98.3,100.8
畜牧业,95.4,94.4,90.1
渔业,95.3,107.6,102.5
采矿业,88.3,104.9,92.6
煤炭开采和洗选业,73.9,76.0,56.2
石油和天然气开采业,82.3,106.3,87.5
黑色金属矿采选业,89.6,107.7,96.5
有色金属矿采选业,115.1,108.1,124.4
非金属矿采选业,99.4,103.5,102.9
制造业,104.7,102.3,107.2
消费品制造业,102.3,101.5,103.9
农副食品加工业,103.9,113.2,117.7
食品制造业,106.3,110.7,117.7
酒、饮料和精制茶制造业,97.8,104.9,102.6
烟草制品业,113.6,114.5,130.1
纺织业,96.7,99.2,96.0
纺织服装、服饰业,92.1,112.9,103.9
皮革、毛皮、羽毛及其制品和制鞋业,103.6,90.9,94.3
家具制造业,104.8,96.1,100.7
造纸和纸制品业,95.6,108.6,103.8
印刷和记录媒介复制业,124.8,61.1,76.3
文教、工美、体育和娱乐用品制造业,106.5,123.4,131.4
医药制造业,103.5,83.7,86.6
化学纤维制造业,99.9,77.4,77.3
原材料制造业,103.8,105.3,109.3
石油、煤炭及其他燃料加工业,94.2,99.5,93.7
化学原料和化学制品制造业,97.3,105.3,102.4
非金属矿物制品业,94.7,69.0,65.4
黑色金属冶炼和压延加工业,94.3,113.2,106.7
有色金属冶炼和压延加工业,117.6,110.7,130.3
装备制造业,105.6,102.0,107.7
金属制品业,107.9,89.5,96.6
通用设备制造业,106.5,107.7,114.7
专用设备制造业,107.4,101.7,109.2
汽车制造业,99.5,70.8,70.5
铁路、船舶、航空航天和其他运输设备制造业,130.4,110.1,143.6
电气机械和器材制造业,102.6,98.7,101.3
计算机、通信和其他电子设备制造业,105.0,105.6,110.9
仪器仪表制造业,109.4,95.9,104.9
木材加工和木、竹、藤、棕、草制品业,100.2,90.2,90.4
橡胶和塑料制品业,107.2,89.7,96.1
其他制造业,137.1,65.9,90.4
废弃资源综合利用业,99.0,110.0,108.9
电力、热力、燃气及水生产和供应业,94.4,85.1,80.3
电力、热力生产和供应业,94.4,85.1,80.3
文化、体育和娱乐业,90.8,77.8,70.7
新闻和出版业,90.8,77.8,70.7
