表三 2025年2月份全国出口商品贸易同比指数（BEC分类）,表三 2025年2月份全国出口商品贸易同比指数（BEC分类）,表三 2025年2月份全国出口商品贸易同比指数（BEC分类）,表三 2025年2月份全国出口商品贸易同比指数（BEC分类）,表三 2025年2月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC, Feb. 2025","Table 3 Index Number of Exports by BEC, Feb. 2025","Table 3 Index Number of Exports by BEC, Feb. 2025","Table 3 Index Number of Exports by BEC, Feb. 2025","Table 3 Index Number of Exports by BEC, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,99.9,108.5,108.4
111,中间品,101.0,111.2,112.3
1111,初级品,100.6,102.4,103.0
1112,加工品,101.1,114.1,115.3
112,资本品,111.0,92.1,102.2
113,消费品,96.5,112.0,108.1
1131,初级品,96.7,114.2,110.5
1132,加工品,96.2,107.7,103.5
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,95.7,104.2,99.8
211,中间品,94.5,118.8,112.3
2111,初级品,89.8,201.1,180.7
2112,加工品,94.9,113.9,108.0
212,资本品,100.7,82.2,82.7
213,消费品,93.8,86.0,80.7
2131,初级品,93.8,86.0,80.7
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,93.7,96.6,90.5
311,中间品,94.2,99.0,93.3
3111,初级品,105.8,99.0,104.8
3112,加工品,94.1,99.0,93.2
312,资本品,98.2,97.6,95.8
313,消费品,89.9,91.7,82.4
3131,初级品,93.1,93.7,87.2
3132,加工品,89.7,91.6,82.2
4,纺织品、服装、鞋,97.4,93.8,91.3
411,中间品,104.6,122.7,128.3
4111,初级品,81.3,71.4,58.1
4112,加工品,104.6,122.7,128.4
412,资本品,104.2,93.6,97.5
413,消费品,92.4,79.0,73.0
4131,初级品,82.7,62.2,51.4
4132,加工品,92.4,79.0,73.0
5,运输设备和服务、旅行、邮政服务,93.1,101.6,94.6
511,中间品,93.8,104.3,97.9
5111,初级品,98.9,101.1,100.0
5112,加工品,93.8,104.3,97.9
512,资本品,97.5,96.6,94.1
513,消费品,87.7,100.1,87.8
5132,加工品,87.7,100.1,87.8
6,信息和通信技术、媒体、计算机、商业和金融服务,100.9,108.1,109.1
611,中间品,99.6,115.9,115.5
6112,加工品,99.6,115.9,115.5
612,资本品,97.5,102.1,99.6
613,消费品,109.0,100.2,109.2
6131,初级品,66.7,102.4,68.4
6132,加工品,109.1,100.2,109.3
7,健康、制药、教育、文化、体育,102.2,85.5,87.4
711,中间品,110.6,93.1,103.0
7111,初级品,87.9,74.6,65.6
7112,加工品,110.6,93.1,103.0
712,资本品,102.8,90.8,93.3
713,消费品,98.2,80.7,79.3
7131,初级品,93.9,97.3,91.3
7132,加工品,98.8,78.8,77.8
8,政府、军队和其他,100.8,97.7,98.5
811,中间品,94.3,105.4,99.4
8112,加工品,94.3,105.4,99.4
812,资本品,135.7,73.0,99.0
813,消费品,94.4,89.2,84.3
8131,初级品,78.6,106.7,83.9
8132,加工品,95.2,88.5,84.3
