表三 2025年6月份全国出口商品贸易同比指数（BEC分类）,表三 2025年6月份全国出口商品贸易同比指数（BEC分类）,表三 2025年6月份全国出口商品贸易同比指数（BEC分类）,表三 2025年6月份全国出口商品贸易同比指数（BEC分类）,表三 2025年6月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,June 2025","Table 3 Index Number of Exports by BEC,June 2025","Table 3 Index Number of Exports by BEC,June 2025","Table 3 Index Number of Exports by BEC,June 2025","Table 3 Index Number of Exports by BEC,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,100.1,109.3,109.3
111,中间品,106.2,114.1,121.2
1111,初级品,95.1,113.6,108.1
1112,加工品,108.8,114.4,124.5
112,资本品,111.3,118.2,131.5
113,消费品,94.7,103.5,98.0
1131,初级品,94.6,104.7,99.0
1132,加工品,94.8,101.5,96.3
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,97.6,103.3,100.8
211,中间品,95.9,103.8,99.6
2111,初级品,94.0,139.5,131.0
2112,加工品,96.1,101.5,97.5
212,资本品,103.8,106.9,110.9
213,消费品,94.6,93.9,88.9
2131,初级品,94.6,93.9,88.9
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,102.6,102.5,105.2
311,中间品,103.3,103.1,106.5
3111,初级品,98.9,94.5,93.4
3112,加工品,103.3,103.1,106.6
312,资本品,100.5,109.8,110.4
313,消费品,102.9,96.7,99.6
3131,初级品,98.1,124.5,122.2
3132,加工品,103.1,95.7,98.7
4,纺织品、服装、鞋,101.3,103.5,104.8
411,中间品,101.2,110.1,111.4
4111,初级品,83.4,109.9,91.7
4112,加工品,101.2,110.1,111.5
412,资本品,101.5,124.7,126.5
413,消费品,101.3,99.8,101.1
4131,初级品,81.0,97.5,79.0
4132,加工品,101.3,99.8,101.1
5,运输设备和服务、旅行、邮政服务,99.3,113.7,112.8
511,中间品,100.0,110.0,110.0
5111,初级品,94.9,95.8,91.0
5112,加工品,100.0,110.0,110.0
512,资本品,98.6,122.2,120.5
513,消费品,97.9,114.9,112.5
5132,加工品,97.9,114.9,112.5
6,信息和通信技术、媒体、计算机、商业和金融服务,99.4,106.7,106.1
611,中间品,105.8,109.1,115.4
6112,加工品,105.8,109.1,115.4
612,资本品,94.4,103.4,97.6
613,消费品,91.2,106.2,96.9
6131,初级品,104.3,101.9,106.3
6132,加工品,91.2,106.2,96.8
7,健康、制药、教育、文化、体育,100.4,105.7,106.2
711,中间品,103.7,101.9,105.7
7111,初级品,76.2,139.8,106.5
7112,加工品,103.7,101.9,105.7
712,资本品,103.1,105.7,108.9
713,消费品,98.8,107.1,105.8
7131,初级品,95.9,113.4,108.8
7132,加工品,99.1,106.4,105.4
8,政府、军队和其他,104.0,113.6,118.1
811,中间品,97.5,115.7,112.7
8112,加工品,97.5,115.7,112.7
812,资本品,130.4,102.8,134.1
813,消费品,93.2,112.4,104.8
8131,初级品,95.0,100.2,95.2
8132,加工品,93.1,113.2,105.4
