表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Sept. 2024","Table 13 Index Number of Imports by HS2,Sept. 2024","Table 13 Index Number of Imports by HS2,Sept. 2024","Table 13 Index Number of Imports by HS2,Sept. 2024","Table 13 Index Number of Imports by HS2,Sept. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,98.7,100.7,99.5
1类,第一类 活动物；动物产品,96.1,91.6,88.1
01,第1章活动物,94.0,81.3,76.5
02,第2章肉及食用杂碎,94.7,90.5,85.7
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,97.0,94.4,91.6
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,97.9,85.9,84.1
05,第5章其他动物产品,102.2,103.9,106.2
2类,第二类 植物产品,88.6,130.9,116.0
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,103.1,75.6,77.9
07,第7章食用蔬菜、根及块茎,92.6,70.0,64.9
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,94.9,118.4,112.4
09,第9章咖啡、茶、马黛茶及调味香料,102.8,95.0,97.6
10,第10章谷物,83.2,67.6,56.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,91.1,103.7,94.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,87.2,157.7,137.5
13,第13章虫胶；树胶、树脂及其他植物液、汁,85.1,99.4,84.7
14,第14章编结用植物材料；其他植物产品,113.2,124.6,141.0
3类,第三类 动、植物油、脂、蜡；精制食用油脂,105.2,80.0,84.1
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,105.2,80.0,84.1
4类,第四类 食品；饮料、酒及醋；烟草及制品,96.1,108.9,104.6
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,99.5,108.1,107.5
17,第17章糖及糖食,90.4,92.6,83.7
18,第18章可可及可可制品,97.8,139.4,136.3
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,90.6,121.4,110.0
20,第20章蔬菜、水果、坚果或植物其他部分的制品,99.2,110.0,109.1
21,第21章杂项食品,121.8,100.8,122.8
22,第22章饮料、酒及醋,93.1,99.1,92.3
23,第23章食品工业的残渣及废料；配制的动物饲料,84.1,147.1,123.7
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,110.3,34.5,38.0
5类,第五类 矿产品,93.6,101.5,94.9
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,95.0,46.0,43.7
26,第26章矿砂、矿渣及矿灰,97.5,105.2,102.6
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,91.8,102.3,93.8
6类,第六类 化学工业及其相关工业的产品,103.8,93.4,96.9
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,91.9,80.7,74.2
29,第29章有机化学品,101.3,101.6,102.9
30,第30章药品,111.7,86.7,96.8
31,第31章肥料,90.1,112.4,101.3
