表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年9月份全国进口商品贸易同比指数（HS2分类）
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,100.3,98.6,98.9
33,第33章精油及香膏；芳香料制品及化妆盥洗品,111.9,81.0,90.7
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,96.4,111.1,107.1
35,第35章蛋白类物质；改性淀粉；胶；酶,113.4,97.7,110.8
36,第36章炸药；烟火制品；引火合金；易燃材料制品,81.1,229.8,186.3
37,第37章照相及电影用品,107.7,99.0,106.6
38,第38章杂项化学产品,103.3,102.1,105.4
7类,第七类 塑料及其制品；橡胶及其制品,105.2,92.4,97.1
39,第39章塑料及其制品,101.7,91.4,92.9
40,第40章橡胶及其制品,119.3,96.0,114.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,98.0,84.3,82.5
41,第41章生皮（毛皮除外）及皮革,96.7,95.9,92.8
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,96.8,83.0,80.3
43,第43章毛皮、人造毛皮及其制品,109.3,61.4,67.1
9类,第九类 木及制品；木炭；软木；编结品,103.3,100.3,103.7
44,第44章木及木制品；木炭,103.4,100.6,104.0
45,第45章软木及软木制品,85.6,39.6,33.9
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,82.7,86.2,71.3
10类,第十类 木浆等；废纸；纸、纸板及其制品,116.8,86.9,101.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,121.4,85.2,103.4
48,第48章纸及纸板；纸浆、纸或纸板制品,102.3,90.1,92.1
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,116.8,97.1,113.5
11类,第十一类 纺织原料及纺织制品,99.6,83.8,83.5
50,第50章蚕丝,110.4,73.3,80.9
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,99.5,99.3,98.8
52,第52章棉花,92.9,54.2,50.4
53,第53章其他植物纺织纤维；纸纱线及其机织物,131.8,105.2,138.7
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,100.6,85.6,86.1
55,第55章化学纤维短纤,94.8,108.9,103.2
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,105.5,99.3,104.8
57,第57章地毯及纺织材料的其他铺地制品,102.4,104.1,106.6
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,106.7,86.3,92.0
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,101.9,94.0,95.8
60,第60章针织物及钩编织物,99.7,104.6,104.3
61,第61章针织或钩编的服装及衣着附件,101.6,85.5,86.9
62,第62章非针织或非钩编的服装及衣着附件,102.2,112.8,115.3
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,90.7,107.0,97.1
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,100.8,102.5,103.3
64,第64章鞋靴、护腿和类似品及其零件,98.9,105.3,104.1
65,第65章帽类及其零件,88.6,100.9,89.3
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,132.2,64.2,84.9
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,113.0,90.6,102.3
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,102.4,95.4,97.7
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,95.0,105.4,100.1
69,第69章陶瓷产品,96.8,99.4,96.2
70,第70章玻璃及其制品,105.5,92.2,97.3
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,122.5,74.9,91.8
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,122.5,74.9,91.8
15类,第十五类 贱金属及其制品,101.5,98.2,99.6
72,第72章钢铁,89.4,87.8,78.5
73,第73章钢铁制品,104.3,96.3,100.4
74,第74章铜及其制品,109.6,99.1,108.6
75,第75章镍及其制品,90.1,126.4,113.8
76,第76章铝及其制品,106.4,87.0,92.6
78,第78章铅及其制品,104.4,908.4,948.2
79,第79章锌及其制品,113.5,98.3,111.6
80,第80章锡及其制品,113.5,74.9,85.0
81,第81章其他贱金属、金属陶瓷及其制品,84.4,145.8,123.1
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,87.2,116.4,101.5
83,第83章贱金属杂项制品,101.0,107.0,108.1
16类,第十六类 机电、音像设备及其零件、附件,98.8,108.4,107.2
84,第84章核反应堆、锅炉、机器、机械器具及零件,106.8,103.8,110.8
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,96.7,109.4,105.8
17类,第十七类 车辆、航空器、船舶及运输设备,99.0,91.5,90.6
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,90.6,202.5,183.5
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,100.1,83.6,83.7
88,第88章航空器、航天器及其零件,83.1,215.4,179.0
89,第89章船舶及浮动结构体,62.8,14.8,9.3
18类,第十八类 光学、医疗等仪器；钟表；乐器,105.6,87.9,92.9
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,105.5,89.6,94.5
91,第91章钟表及其零件,109.4,64.6,70.7
92,第92章乐器及其零件、附件,95.9,68.2,65.4
20类,第二十类 杂项制品,93.4,94.0,87.8
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,97.0,86.6,84.1
95,第95章玩具、游戏品、运动用品及其零件、附件,93.9,106.4,99.9
96,第96章杂项制品,87.5,84.8,74.2
21类,第二十一类 艺术品、收藏品及古物,87.1,38.7,33.7
97,第97章艺术品、收藏品及古物,87.1,38.7,33.7
22类,第二十二类 特殊交易品及未分类商品,114.0,62.1,70.9
98,第98章特殊交易品及未分类商品,114.0,62.1,70.9
