表四 2023年10月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年10月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年10月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年10月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Oct. 2023","Table 4 Index Number of Exports by Industry,Oct. 2023","Table 4 Index Number of Exports by Industry,Oct. 2023","Table 4 Index Number of Exports by Industry,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,100.4,114.5,115.0
农业,102.1,117.8,120.2
林业,87.8,86.8,76.2
畜牧业,85.1,105.4,89.7
渔业,96.2,91.4,87.9
采矿业,89.0,77.9,69.4
煤炭开采和洗选业,75.1,119.2,89.5
石油和天然气开采业,83.3,38.5,32.1
黑色金属矿采选业,94.4,105.7,99.7
有色金属矿采选业,97.7,103.5,101.1
非金属矿采选业,89.4,124.3,111.2
制造业,90.2,107.5,96.9
消费品制造业,87.7,105.6,92.7
农副食品加工业,95.6,107.7,102.9
食品制造业,90.3,107.5,97.1
酒、饮料和精制茶制造业,97.4,95.1,92.6
烟草制品业,80.9,128.6,104.1
纺织业,92.3,105.9,97.8
纺织服装、服饰业,92.9,102.1,94.8
皮革、毛皮、羽毛及其制品和制鞋业,83.8,102.4,85.8
家具制造业,79.2,123.8,98.1
造纸和纸制品业,77.3,111.6,86.3
印刷和记录媒介复制业,81.6,128.2,104.6
文教、工美、体育和娱乐用品制造业,83.8,104.1,87.3
医药制造业,90.8,91.0,82.6
化学纤维制造业,95.4,116.7,111.2
原材料制造业,83.6,111.5,93.2
石油、煤炭及其他燃料加工业,95.1,120.0,114.0
化学原料和化学制品制造业,81.0,107.5,87.1
非金属矿物制品业,76.8,102.7,78.9
黑色金属冶炼和压延加工业,81.3,131.4,106.9
有色金属冶炼和压延加工业,97.1,104.1,101.0
装备制造业,92.8,106.3,98.6
金属制品业,82.8,108.7,90.0
通用设备制造业,92.4,108.4,100.2
专用设备制造业,91.2,108.5,99.0
汽车制造业,99.8,132.4,132.1
铁路、船舶、航空航天和其他运输设备制造业,97.2,114.2,110.9
电气机械和器材制造业,89.6,104.8,93.8
计算机、通信和其他电子设备制造业,94.8,101.2,96.0
仪器仪表制造业,97.7,99.3,97.0
木材加工和木、竹、藤、棕、草制品业,93.2,109.2,101.8
橡胶和塑料制品业,84.5,114.6,96.9
其他制造业,95.7,125.3,119.9
废弃资源综合利用业,76.2,94.5,72.0
电力、热力、燃气及水生产和供应业,102.7,105.6,108.5
电力、热力生产和供应业,102.7,105.6,108.5
