表二 2023年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年12月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Dec. 2023","Table 2 Index Number of Exports by SITC2,Dec. 2023","Table 2 Index Number of Exports by SITC2,Dec. 2023","Table 2 Index Number of Exports by SITC2,Dec. 2023","Table 2 Index Number of Exports by SITC2,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,95.8,90.0,86.2
0,食品及活动物,94.3,105.0,99.0
00,活动物（03章动物除外）,76.3,107.8,82.2
01,肉及肉制品,94.9,112.3,106.6
02,乳品及蛋品,95.2,106.8,101.7
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,92.9,95.7,88.9
04,谷物及谷物制品,112.0,105.9,118.6
05,蔬菜及水果,98.0,103.1,101.0
06,糖、糖制品及蜂蜜,100.5,123.0,123.6
07,咖啡、茶、马黛茶、调味香料及其制品,90.9,104.6,95.0
08,动物饲料（不包括未碾磨谷物）,81.8,143.2,117.1
09,杂项食品,85.9,113.7,97.7
1,饮料及烟类,123.4,135.0,166.6
11,饮料,118.6,137.3,162.8
12,烟草及烟草制品,140.0,128.9,180.5
2,非食用原料（燃料除外）,92.7,99.4,92.2
21,生皮及生毛皮,79.9,50.7,40.5
22,含油子仁及果实,98.8,119.0,117.5
23,生橡胶（包括合成橡胶及再生橡胶）,93.3,132.7,123.8
24,软木及木材,90.1,80.2,72.3
25,纸浆及废纸,80.9,97.6,79.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,89.0,115.4,102.7
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,86.3,78.2,67.5
28,金属矿砂及金属废料,105.1,98.8,103.9
29,其他动、植物原料,91.1,94.9,86.5
3,矿物燃料、润滑油及有关原料,97.7,68.6,67.0
32,煤、焦炭及煤砖,82.6,147.0,121.5
33,石油、石油产品及有关原料,98.7,61.1,60.3
34,天然气及人造气,93.7,195.1,182.8
35,电力,104.6,91.5,95.7
4,动、植物油、脂及蜡,88.6,186.8,165.5
41,动物油、脂,103.3,137.0,141.5
42,初榨、精制或分离的固定植物油、脂,88.1,155.7,137.1
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,85.7,206.6,177.1
5-9,工业制品,91.4,114.7,104.8
5,化学品及有关产品,85.9,110.3,94.8
51,有机化学品,87.3,109.3,95.5
52,无机化学品,78.3,92.9,72.7
53,染料、鞣料及着色料,92.2,115.7,106.7
54,医药品,86.6,112.2,97.2
55,精油、香膏及芳香料;盥洗及光洁制品,89.8,127.3,114.3
56,肥料（272组货品除外）,76.1,96.5,73.4
57,初级形状的塑料,87.5,120.5,105.4
58,非初级形状的塑料,92.9,121.1,112.6
59,未列名化学原料及产品,83.7,110.9,92.8
6,按原料分类的制成品,89.8,113.5,102.0
61,皮革、皮革制品及已鞣毛皮,102.5,112.4,115.2
62,橡胶制品,97.4,114.0,111.1
63,软木及木制品（家俱除外）,95.0,108.1,102.7
64,纸、纸板及纸浆、纸或纸板制品,87.7,119.1,104.4
65,纺织纱线、织物未列名制品及有关产品,96.3,109.0,105.0
66,未列名非金属矿物制品,85.1,105.5,89.7
67,钢铁,80.2,116.7,93.6
68,有色金属,95.4,111.0,105.9
69,未列名金属制品,88.0,121.5,106.9
7,机械及运输设备,92.8,113.7,105.5
71,动力机械及设备,100.1,110.0,110.1
72,特种工业专用机械,90.2,121.8,109.9
73,金工机械,97.0,128.0,124.2
74,通用工业机械设备及零件,94.3,118.3,111.6
75,办公室用机械及自动数据处理设备,89.6,108.3,97.1
76,电信及声音的录制或重放装置及设备,87.0,115.5,100.5
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,94.6,107.2,101.5
78,陆路车辆（包括气垫式）,99.5,130.0,129.4
79,其他运输设备,97.5,118.6,115.7
8,杂项制品,92.8,111.3,103.3
81,活动房屋;卫生、水道、供热及照明装置,90.8,119.1,108.2
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,90.7,131.1,119.0
83,旅行用品、手提包及类似容器,96.2,115.3,111.0
84,服装及衣着附件,93.5,110.4,103.2
85,鞋靴,88.8,105.9,94.0
87,专业、科学及控制用仪器及设备,98.6,103.9,102.4
88,摄影器材及光学物品;钟表,98.3,111.9,110.0
89,未列名杂项制品,92.5,106.4,98.3
9,未分类的商品及交易品,77.5,222.0,171.9
96,硬币（金币除外），没有法定货币,101.5,46.3,47.0
97,金，非货币（不包括黄金矿砂及精矿）,114.1,523.1,596.8
98,其他,76.1,214.7,163.4
