表十四 2025年4月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年4月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年4月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年4月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年4月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Apr. 2025","Table 14 Index Number of Imports by SITC2,Apr. 2025","Table 14 Index Number of Imports by SITC2,Apr. 2025","Table 14 Index Number of Imports by SITC2,Apr. 2025","Table 14 Index Number of Imports by SITC2,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,94.0,99.8,93.8
0,食品及活动物,101.8,92.0,93.7
00,活动物（03章动物除外）,110.7,136.4,151.0
01,肉及肉制品,105.0,95.5,100.3
02,乳品及蛋品,113.3,102.2,115.8
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,102.5,104.3,106.9
04,谷物及谷物制品,91.8,54.9,50.4
05,蔬菜及水果,103.3,80.8,83.4
06,糖、糖制品及蜂蜜,93.3,87.4,81.5
07,咖啡、茶、马黛茶、调味香料及其制品,101.3,131.9,133.6
08,动物饲料（不包括未碾磨谷物）,84.9,120.4,102.3
09,杂项食品,112.4,113.5,127.6
1,饮料及烟类,102.4,88.7,90.8
11,饮料,93.2,85.2,79.4
12,烟草及烟草制品,116.2,93.7,108.9
2,非食用原料（燃料除外）,100.3,101.7,102.0
21,生皮及生毛皮,91.6,90.2,82.6
22,含油子仁及果实,88.8,73.0,64.8
23,生橡胶（包括合成橡胶及再生橡胶）,120.0,128.7,154.5
24,软木及木材,98.0,76.9,75.4
25,纸浆及废纸,98.8,90.4,89.4
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,95.1,44.4,42.2
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,92.6,129.3,119.7
28,金属矿砂及金属废料,102.2,110.9,113.4
29,其他动、植物原料,95.6,108.3,103.5
3,矿物燃料、润滑油及有关原料,86.2,100.3,86.4
32,煤、焦炭及煤砖,75.2,83.1,62.4
33,石油、石油产品及有关原料,85.4,103.7,88.5
34,天然气及人造气,96.9,95.7,92.8
35,电力,94.5,118.5,111.9
4,动、植物油、脂及蜡,116.9,102.1,119.4
41,动物油、脂,133.0,73.7,98.0
42,初榨、精制或分离的固定植物油、脂,116.8,99.9,116.6
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,115.7,131.7,152.4
5-9,工业制品,105.7,100.1,105.9
5,化学品及有关产品,98.1,98.3,96.5
51,有机化学品,96.7,103.9,100.5
52,无机化学品,99.1,86.9,86.2
53,染料、鞣料及着色料,103.8,95.7,99.3
54,医药品,98.0,91.0,89.2
55,精油、香膏及芳香料;盥洗及光洁制品,93.8,116.7,109.4
56,肥料（272组货品除外）,98.9,119.5,118.2
57,初级形状的塑料,99.3,98.6,97.9
58,非初级形状的塑料,104.1,87.8,91.5
59,未列名化学原料及产品,97.9,100.0,97.9
6,按原料分类的制成品,101.1,94.8,95.8
61,皮革、皮革制品及已鞣毛皮,93.7,77.4,72.5
62,橡胶制品,110.4,87.0,96.1
63,软木及木制品（家俱除外）,113.5,77.1,87.5
64,纸、纸板及纸浆、纸或纸板制品,95.7,88.8,85.0
65,纺织纱线、织物未列名制品及有关产品,100.9,92.1,92.9
66,未列名非金属矿物制品,94.7,94.0,89.0
67,钢铁,97.7,90.0,88.0
68,有色金属,102.5,99.8,102.3
69,未列名金属制品,107.8,92.8,100.0
7,机械及运输设备,104.5,102.9,107.5
71,动力机械及设备,114.4,95.1,108.8
72,特种工业专用机械,91.7,103.1,94.5
73,金工机械,96.6,115.8,111.8
74,通用工业机械设备及零件,102.6,91.8,94.2
75,办公室用机械及自动数据处理设备,122.0,119.9,146.3
76,电信及声音的录制或重放装置及设备,99.9,112.5,112.4
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,104.0,104.3,108.5
78,陆路车辆（包括气垫式）,98.0,74.0,72.5
79,其他运输设备,106.4,90.6,96.4
8,杂项制品,102.9,98.5,101.3
81,活动房屋;卫生、水道、供热及照明装置,83.8,99.4,83.2
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,111.1,71.3,79.2
83,旅行用品、手提包及类似容器,94.4,99.5,93.9
84,服装及衣着附件,92.6,99.6,92.2
85,鞋靴,108.9,90.4,98.4
87,专业、科学及控制用仪器及设备,106.2,97.5,103.5
88,摄影器材及光学物品;钟表,104.8,100.2,105.0
89,未列名杂项制品,99.6,101.6,101.2
9,未分类的商品及交易品,137.0,95.6,131.0
96,硬币（金币除外），没有法定货币,141.8,177.2,251.3
97,金，非货币（不包括黄金矿砂及精矿）,140.0,95.4,133.6
98,其他,101.3,97.6,98.9
