表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
62,第62章非针织或非钩编的服装及衣着附件,101.5,103.2,104.7
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,104.8,87.0,91.1
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,98.7,105.7,104.3
64,第64章鞋靴、护腿和类似品及其零件,98.6,100.7,99.4
65,第65章帽类及其零件,133.2,70.2,93.6
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,115.5,169.4,195.7
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,90.6,164.5,149.0
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,112.8,87.6,98.8
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,131.7,60.0,79.0
69,第69章陶瓷产品,108.8,97.3,105.9
70,第70章玻璃及其制品,108.2,95.7,103.5
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,111.7,69.9,78.1
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,111.7,69.9,78.1
15类,第十五类 贱金属及其制品,98.4,98.5,96.9
72,第72章钢铁,84.8,102.1,86.6
73,第73章钢铁制品,114.0,89.0,101.5
74,第74章铜及其制品,110.5,91.8,101.4
75,第75章镍及其制品,89.0,117.2,104.3
76,第76章铝及其制品,100.3,111.4,111.7
78,第78章铅及其制品,102.7,65.6,67.4
79,第79章锌及其制品,86.8,357.2,310.2
80,第80章锡及其制品,113.2,337.8,382.3
81,第81章其他贱金属、金属陶瓷及其制品,68.9,80.8,55.6
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,98.7,94.8,93.5
83,第83章贱金属杂项制品,116.2,87.9,102.1
16类,第十六类 机电、音像设备及其零件、附件,98.8,98.1,96.9
84,第84章核反应堆、锅炉、机器、机械器具及零件,100.1,105.0,105.2
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,98.5,95.7,94.3
