表十五 2025年4月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年4月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年4月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年4月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年4月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Apr. 2025","Table 15 Index Number of Imports by BEC,Apr. 2025","Table 15 Index Number of Imports by BEC,Apr. 2025","Table 15 Index Number of Imports by BEC,Apr. 2025","Table 15 Index Number of Imports by BEC,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,98.3,89.0,87.4
111,中间品,95.2,83.3,79.4
1111,初级品,94.3,74.9,70.7
1112,加工品,97.9,109.3,107.0
112,资本品,73.7,98.7,72.7
113,消费品,103.9,96.6,100.4
1131,初级品,103.8,95.3,98.9
1132,加工品,105.1,111.9,117.6
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,93.4,103.1,96.3
211,中间品,92.9,105.1,97.6
2111,初级品,91.3,106.9,97.6
2112,加工品,99.7,97.9,97.6
212,资本品,110.4,88.7,98.0
213,消费品,88.7,72.0,63.8
2131,初级品,88.7,72.0,63.8
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,105.2,95.9,100.9
311,中间品,106.9,95.3,101.9
3111,初级品,92.7,127.1,117.9
3112,加工品,107.4,94.1,101.0
312,资本品,97.0,99.4,96.4
313,消费品,103.6,94.4,97.8
3131,初级品,114.3,106.2,121.4
3132,加工品,100.4,91.6,92.0
4,纺织品、服装、鞋,124.8,91.3,113.9
411,中间品,128.2,90.4,115.9
4111,初级品,93.9,35.9,33.7
4112,加工品,130.0,94.0,122.2
412,资本品,96.4,130.2,125.5
413,消费品,97.8,95.5,93.4
4131,初级品,119.9,106.4,127.5
4132,加工品,97.7,95.5,93.4
5,运输设备和服务、旅行、邮政服务,102.5,85.9,88.1
511,中间品,103.7,89.1,92.4
5111,初级品,98.0,83.6,82.0
5112,加工品,103.7,89.1,92.4
512,资本品,107.6,88.4,95.1
513,消费品,97.9,77.1,75.5
5132,加工品,97.9,77.1,75.5
6,信息和通信技术、媒体、计算机、商业和金融服务,104.5,107.7,112.6
611,中间品,102.5,106.9,109.5
6112,加工品,102.5,106.9,109.5
612,资本品,115.4,110.1,127.1
613,消费品,86.1,121.7,104.8
6131,初级品,124.5,154.5,192.4
6132,加工品,86.0,121.7,104.7
7,健康、制药、教育、文化、体育,98.6,99.9,98.5
711,中间品,102.2,90.6,92.6
7112,加工品,102.2,90.6,92.6
712,资本品,97.8,104.3,102.0
713,消费品,96.0,106.3,102.1
7131,初级品,92.1,117.8,108.5
7132,加工品,98.4,100.2,98.6
8,政府、军队和其他,109.2,115.1,125.7
811,中间品,110.2,123.8,136.4
8112,加工品,110.2,123.8,136.4
812,资本品,114.9,98.8,113.6
813,消费品,67.0,142.6,95.6
8132,加工品,67.0,143.1,95.9
