表十四 2025年2月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年2月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年2月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年2月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年2月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2, Feb. 2025","Table 14 Index Number of Imports by SITC2, Feb. 2025","Table 14 Index Number of Imports by SITC2, Feb. 2025","Table 14 Index Number of Imports by SITC2, Feb. 2025","Table 14 Index Number of Imports by SITC2, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,95.3,99.6,95.0
0,食品及活动物,97.3,86.4,84.1
01,肉及肉制品,108.5,97.1,105.4
02,乳品及蛋品,116.1,124.2,144.2
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,95.3,110.4,105.2
04,谷物及谷物制品,90.7,29.2,26.5
05,蔬菜及水果,83.4,102.9,85.8
06,糖、糖制品及蜂蜜,96.5,21.2,20.4
07,咖啡、茶、马黛茶、调味香料及其制品,115.8,121.0,140.1
08,动物饲料（不包括未碾磨谷物）,82.2,129.5,106.4
09,杂项食品,118.4,99.8,118.2
1,饮料及烟类,114.8,141.6,162.6
11,饮料,107.0,111.9,119.8
12,烟草及烟草制品,123.7,180.0,222.7
2,非食用原料（燃料除外）,94.7,106.1,100.5
21,生皮及生毛皮,94.3,122.5,115.5
22,含油子仁及果实,84.6,115.9,98.0
23,生橡胶（包括合成橡胶及再生橡胶）,126.1,149.1,188.0
24,软木及木材,99.0,97.4,96.4
25,纸浆及废纸,99.0,106.0,104.9
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,95.6,54.6,52.2
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,107.7,94.4,101.7
28,金属矿砂及金属废料,94.1,105.9,99.6
29,其他动、植物原料,101.0,120.5,121.7
3,矿物燃料、润滑油及有关原料,94.9,96.7,91.7
32,煤、焦炭及煤砖,78.5,103.3,81.1
33,石油、石油产品及有关原料,96.5,96.2,92.8
34,天然气及人造气,96.8,95.3,92.3
35,电力,89.3,188.0,167.9
4,动、植物油、脂及蜡,109.0,123.7,134.8
41,动物油、脂,67.5,180.9,122.0
42,初榨、精制或分离的固定植物油、脂,110.6,112.0,123.9
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,119.3,198.6,237.0
5-9,工业制品,101.3,107.2,108.6
5,化学品及有关产品,99.7,113.0,112.7
51,有机化学品,101.1,109.7,111.0
52,无机化学品,87.7,96.6,84.7
53,染料、鞣料及着色料,102.7,116.2,119.4
54,医药品,107.0,106.2,113.6
55,精油、香膏及芳香料;盥洗及光洁制品,94.2,132.8,125.1
56,肥料（272组货品除外）,90.2,125.8,113.5
57,初级形状的塑料,101.5,117.3,119.0
58,非初级形状的塑料,96.3,112.5,108.3
59,未列名化学原料及产品,95.7,118.8,113.7
6,按原料分类的制成品,102.7,106.0,108.9
61,皮革、皮革制品及已鞣毛皮,90.7,146.3,132.7
62,橡胶制品,103.2,107.7,111.1
63,软木及木制品（家俱除外）,102.8,111.1,114.3
64,纸、纸板及纸浆、纸或纸板制品,97.8,118.8,116.2
65,纺织纱线、织物未列名制品及有关产品,99.3,108.7,107.9
66,未列名非金属矿物制品,103.6,114.3,118.4
67,钢铁,96.3,103.6,99.7
68,有色金属,106.9,103.2,110.3
69,未列名金属制品,102.9,108.2,111.3
7,机械及运输设备,96.0,117.7,113.0
71,动力机械及设备,109.6,125.5,137.5
72,特种工业专用机械,95.8,110.1,105.5
73,金工机械,97.1,107.9,104.8
74,通用工业机械设备及零件,98.1,111.6,109.5
75,办公室用机械及自动数据处理设备,124.0,144.0,178.6
76,电信及声音的录制或重放装置及设备,104.7,119.2,124.8
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,91.6,116.4,106.6
78,陆路车辆（包括气垫式）,93.3,78.7,73.5
79,其他运输设备,131.9,198.0,261.1
8,杂项制品,102.3,107.3,109.7
81,活动房屋;卫生、水道、供热及照明装置,82.7,116.4,96.3
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,107.6,119.9,129.0
83,旅行用品、手提包及类似容器,82.3,99.4,81.8
84,服装及衣着附件,88.7,114.3,101.3
85,鞋靴,106.3,86.5,92.0
87,专业、科学及控制用仪器及设备,106.7,110.4,117.8
88,摄影器材及光学物品;钟表,107.8,102.1,110.1
89,未列名杂项制品,101.9,108.0,110.1
9,未分类的商品及交易品,138.8,55.4,76.9
96,硬币（金币除外），没有法定货币,60.7,131.9,80.0
97,金，非货币（不包括黄金矿砂及精矿）,143.3,55.0,78.9
98,其他,90.3,59.4,53.7
