表三 2023年11月份全国出口商品贸易同比指数（BEC分类）,表三 2023年11月份全国出口商品贸易同比指数（BEC分类）,表三 2023年11月份全国出口商品贸易同比指数（BEC分类）,表三 2023年11月份全国出口商品贸易同比指数（BEC分类）,表三 2023年11月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Nov. 2023","Table 3 Index Number of Exports by BEC,Nov. 2023","Table 3 Index Number of Exports by BEC,Nov. 2023","Table 3 Index Number of Exports by BEC,Nov. 2023","Table 3 Index Number of Exports by BEC,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
1,食品和饮料,95.9,109.3,104.8
11,初级品,98.2,121.8,119.7
111,主要用于工业,102.1,129.4,132.1
112,主要用于家庭消费,97.6,120.6,117.7
12,加工品,94.7,103.5,98.0
121,主要用于工业,91.5,117.3,107.3
122,主要用于家庭消费,94.9,102.5,97.3
2,未列名的工业供应品,89.7,111.3,99.8
21,初级品,94.5,95.4,90.1
22,加工品,89.6,111.5,99.9
3,燃料和润滑油,97.3,86.8,84.4
31,初级品,81.9,150.9,123.6
32,加工品,98.0,84.3,82.6
321,车用,98.7,82.3,81.2
322,其他,90.8,105.2,95.6
4,资本货品(运输设备除外)及其零件和附件,92.2,108.8,100.2
41,资本货品(运输设备除外),94.2,111.0,104.6
42,零件和附件,87.4,103.3,90.3
5,运输设备及其零件和附件,95.3,124.6,118.8
51,机动小客车,93.9,141.0,132.4
52,其他,92.9,146.6,136.2
521,工业用,95.6,156.5,149.6
522,非工业用,84.2,114.8,96.6
53,零件和附件,96.9,110.1,106.6
6,未列名的消费品,86.8,114.6,99.5
61,耐用品,87.6,120.9,106.0
62,半耐用品,86.9,111.4,96.9
63,非耐用品,84.9,117.6,99.9
7,未列名的货品,107.0,119.6,127.9
