表十三 2024年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年12月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Dec. 2024","Table 13 Index Number of Imports by HS2,Dec. 2024","Table 13 Index Number of Imports by HS2,Dec. 2024","Table 13 Index Number of Imports by HS2,Dec. 2024","Table 13 Index Number of Imports by HS2,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,97.3,104.0,101.3
1类,第一类 活动物；动物产品,101.1,116.7,118.0
01,第1章活动物,129.1,162.9,210.2
02,第2章肉及食用杂碎,99.8,108.5,108.2
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,100.2,123.4,123.7
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,108.8,126.7,137.8
05,第5章其他动物产品,97.6,101.5,99.1
2类,第二类 植物产品,85.6,82.5,70.6
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,100.7,105.4,106.2
07,第7章食用蔬菜、根及块茎,101.6,54.4,55.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,91.6,158.7,145.4
09,第9章咖啡、茶、马黛茶及调味香料,111.7,100.9,112.7
10,第10章谷物,87.8,31.1,27.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,81.2,124.8,101.3
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,82.5,83.8,69.2
13,第13章虫胶；树胶、树脂及其他植物液、汁,90.1,155.0,139.8
14,第14章编结用植物材料；其他植物产品,95.1,104.9,99.8
3类,第三类 动、植物油、脂、蜡；精制食用油脂,117.8,92.1,108.6
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,117.8,92.1,108.6
4类,第四类 食品；饮料、酒及醋；烟草及制品,94.8,112.3,106.4
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,100.5,141.6,142.3
17,第17章糖及糖食,89.0,95.5,84.9
18,第18章可可及可可制品,127.0,116.1,147.5
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,93.2,131.9,122.9
20,第20章蔬菜、水果、坚果或植物其他部分的制品,103.7,126.8,131.5
21,第21章杂项食品,106.4,114.0,121.3
22,第22章饮料、酒及醋,93.6,120.2,112.5
23,第23章食品工业的残渣及废料；配制的动物饲料,78.4,84.8,66.5
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,112.7,115.3,130.0
5类,第五类 矿产品,90.2,100.1,90.3
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,114.2,68.1,77.8
26,第26章矿砂、矿渣及矿灰,92.4,109.0,100.6
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,88.9,96.6,85.9
6类,第六类 化学工业及其相关工业的产品,100.0,108.1,108.1
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,100.1,96.4,96.5
29,第29章有机化学品,100.8,109.3,110.1
30,第30章药品,107.2,104.9,112.5
31,第31章肥料,89.6,104.3,93.5
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,98.9,107.2,106.0
33,第33章精油及香膏；芳香料制品及化妆盥洗品,93.9,117.8,110.6
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,99.3,113.6,112.7
35,第35章蛋白类物质；改性淀粉；胶；酶,96.1,112.0,107.7
36,第36章炸药；烟火制品；引火合金；易燃材料制品,81.9,170.0,139.2
37,第37章照相及电影用品,102.9,108.6,111.8
38,第38章杂项化学产品,94.9,113.7,108.0
7类,第七类 塑料及其制品；橡胶及其制品,105.6,104.6,110.5
39,第39章塑料及其制品,100.4,103.5,103.9
40,第40章橡胶及其制品,123.9,108.0,133.8
8类,第八类 革、毛皮及制品；箱包；肠线制品,101.4,93.4,94.8
41,第41章生皮（毛皮除外）及皮革,97.8,106.0,103.6
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,102.9,91.6,94.3
43,第43章毛皮、人造毛皮及其制品,105.2,54.3,57.1
9类,第九类 木及制品；木炭；软木；编结品,103.3,98.9,102.2
44,第44章木及木制品；木炭,103.3,98.7,102.0
45,第45章软木及软木制品,109.9,165.1,181.5
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,86.0,172.1,147.9
10类,第十类 木浆等；废纸；纸、纸板及其制品,104.2,96.2,100.2
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,104.4,93.6,97.8
48,第48章纸及纸板；纸浆、纸或纸板制品,101.8,95.2,96.8
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,109.6,128.6,141.0
11类,第十一类 纺织原料及纺织制品,98.1,91.0,89.3
50,第50章蚕丝,96.6,129.4,125.1
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,104.9,109.9,115.2
52,第52章棉花,94.1,70.8,66.6
53,第53章其他植物纺织纤维；纸纱线及其机织物,98.0,63.1,61.8
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,103.3,94.5,97.7
55,第55章化学纤维短纤,98.5,110.8,109.2
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,97.2,106.0,103.0
57,第57章地毯及纺织材料的其他铺地制品,105.0,95.2,100.0
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,100.5,95.7,96.1
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,96.5,110.8,106.9
60,第60章针织物及钩编织物,96.5,99.9,96.4
61,第61章针织或钩编的服装及衣着附件,98.1,91.1,89.4
62,第62章非针织或非钩编的服装及衣着附件,100.6,114.7,115.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,95.8,103.6,99.3
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,99.5,106.8,106.3
64,第64章鞋靴、护腿和类似品及其零件,96.7,111.1,107.4
65,第65章帽类及其零件,88.9,113.9,101.2
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,73.4,235.4,172.8
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,112.1,91.2,102.3
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,107.6,99.2,106.7
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,100.4,114.5,115.0
69,第69章陶瓷产品,96.5,101.9,98.3
70,第70章玻璃及其制品,113.0,94.0,106.2
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,123.5,106.6,131.6
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,123.5,106.6,131.6
15类,第十五类 贱金属及其制品,105.2,110.1,115.8
72,第72章钢铁,92.4,99.3,91.8
73,第73章钢铁制品,98.1,129.4,126.9
74,第74章铜及其制品,110.6,118.7,131.2
75,第75章镍及其制品,117.0,100.8,117.9
76,第76章铝及其制品,109.2,99.5,108.6
78,第78章铅及其制品,107.9,314.5,339.2
79,第79章锌及其制品,121.0,132.8,160.6
80,第80章锡及其制品,117.5,68.0,79.8
81,第81章其他贱金属、金属陶瓷及其制品,94.4,110.2,104.0
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,97.5,104.6,102.0
83,第83章贱金属杂项制品,97.6,101.2,98.8
16类,第十六类 机电、音像设备及其零件、附件,100.2,109.9,110.1
84,第84章核反应堆、锅炉、机器、机械器具及零件,105.5,117.5,124.0
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,98.7,106.6,105.1
17类,第十七类 车辆、航空器、船舶及运输设备,92.2,89.4,82.4
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,106.6,157.4,167.9
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,93.1,76.4,71.1
88,第88章航空器、航天器及其零件,85.5,189.1,161.8
89,第89章船舶及浮动结构体,93.5,17.5,16.4
18类,第十八类 光学、医疗等仪器；钟表；乐器,96.9,105.4,102.1
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,96.9,107.2,103.9
91,第91章钟表及其零件,96.7,74.1,71.6
92,第92章乐器及其零件、附件,97.0,83.0,80.6
19类,第十九类 武器、弹药及其零件、附件,110.6,25.6,28.3
93,第93章武器、弹药及其零件、附件,110.6,25.6,28.3
20类,第二十类 杂项制品,99.5,106.1,105.5
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,110.2,92.5,101.9
95,第95章玩具、游戏品、运动用品及其零件、附件,89.9,124.4,111.9
96,第96章杂项制品,89.9,113.4,102.0
21类,第二十一类 艺术品、收藏品及古物,85.0,118.0,100.3
97,第97章艺术品、收藏品及古物,85.0,118.0,100.3
22类,第二十二类 特殊交易品及未分类商品,73.9,108.1,79.9
98,第98章特殊交易品及未分类商品,73.9,108.1,79.9
