表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,June 2025","Table 1 Index Number of Exports by HS2,June 2025","Table 1 Index Number of Exports by HS2,June 2025","Table 1 Index Number of Exports by HS2,June 2025","Table 1 Index Number of Exports by HS2,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,100.5,106.7,107.2
1类,第一类 活动物；动物产品,102.8,107.6,110.5
01,第1章活动物,91.8,102.8,94.3
02,第2章肉及食用杂碎,88.9,140.3,124.8
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,103.8,103.5,107.4
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,90.7,142.8,129.5
05,第5章其他动物产品,116.5,98.5,114.7
2类,第二类 植物产品,89.7,100.4,90.1
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,94.8,112.7,106.9
07,第7章食用蔬菜、根及块茎,83.1,100.2,83.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,97.5,88.9,86.7
09,第9章咖啡、茶、马黛茶及调味香料,96.8,94.8,91.9
10,第10章谷物,80.0,170.6,136.4
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,98.5,94.9,93.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,90.9,104.2,94.8
13,第13章虫胶；树胶、树脂及其他植物液、汁,94.5,120.0,113.4
14,第14章编结用植物材料；其他植物产品,92.7,138.3,128.2
3类,第三类 动、植物油、脂、蜡；精制食用油脂,114.2,87.9,100.4
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,114.2,87.9,100.4
4类,第四类 食品；饮料、酒及醋；烟草及制品,97.5,95.6,93.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,96.0,96.7,92.8
17,第17章糖及糖食,99.6,100.9,100.5
18,第18章可可及可可制品,114.6,102.3,117.2
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,96.7,102.9,99.5
20,第20章蔬菜、水果、坚果或植物其他部分的制品,91.9,103.1,94.8
21,第21章杂项食品,103.5,108.2,112.1
22,第22章饮料、酒及醋,95.8,164.3,157.5
23,第23章食品工业的残渣及废料；配制的动物饲料,96.2,94.3,90.6
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,100.4,58.7,58.9
5类,第五类 矿产品,93.5,104.4,97.6
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,92.1,100.6,92.6
26,第26章矿砂、矿渣及矿灰,87.8,53.5,46.9
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,94.1,108.5,102.1
6类,第六类 化学工业及其相关工业的产品,96.7,104.7,101.2
