表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）,表一 2025年6月份全国出口商品贸易同比指数（HS2分类）
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,91.4,93.0,85.0
29,第29章有机化学品,96.5,99.4,95.9
30,第30章药品,80.9,113.2,91.6
31,第31章肥料,117.8,137.4,161.8
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,95.3,92.8,88.4
33,第33章精油及香膏；芳香料制品及化妆盥洗品,96.1,110.7,106.4
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,102.2,116.2,118.8
35,第35章蛋白类物质；改性淀粉；胶；酶,97.8,107.6,105.2
36,第36章炸药；烟火制品；引火合金；易燃材料制品,98.9,156.9,155.2
37,第37章照相及电影用品,104.1,98.6,102.6
38,第38章杂项化学产品,98.9,112.7,111.4
7类,第七类 塑料及其制品；橡胶及其制品,97.9,103.3,101.1
39,第39章塑料及其制品,97.4,105.0,102.3
40,第40章橡胶及其制品,99.8,96.7,96.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,97.2,97.5,94.7
41,第41章生皮（毛皮除外）及皮革,95.9,106.7,102.4
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,96.9,97.0,94.0
43,第43章毛皮、人造毛皮及其制品,117.6,104.1,122.4
9类,第九类 木及制品；木炭；软木；编结品,96.7,102.0,98.7
44,第44章木及木制品；木炭,96.7,102.5,99.1
45,第45章软木及软木制品,92.1,117.0,107.7
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,97.4,95.3,92.9
10类,第十类 木浆等；废纸；纸、纸板及其制品,93.4,103.3,96.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,95.3,93.3,88.9
48,第48章纸及纸板；纸浆、纸或纸板制品,93.9,103.9,97.6
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,90.4,100.6,90.9
11类,第十一类 纺织原料及纺织制品,98.9,102.6,101.5
50,第50章蚕丝,96.0,103.0,98.8
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,98.5,97.1,95.7
52,第52章棉花,95.6,99.2,94.8
53,第53章其他植物纺织纤维；纸纱线及其机织物,84.6,106.2,89.8
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,91.8,106.9,98.1
55,第55章化学纤维短纤,95.3,105.6,100.7
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,98.7,105.9,104.5
57,第57章地毯及纺织材料的其他铺地制品,99.9,98.8,98.7
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,97.5,104.3,101.8
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,99.4,102.9,102.3
60,第60章针织物及钩编织物,98.4,103.6,101.9
61,第61章针织或钩编的服装及衣着附件,100.3,101.7,102.1
62,第62章非针织或非钩编的服装及衣着附件,101.8,102.2,104.0
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,98.1,101.1,99.1
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,102.1,98.4,100.4
64,第64章鞋靴、护腿和类似品及其零件,103.6,96.3,99.7
65,第65章帽类及其零件,95.2,109.6,104.3
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,104.5,94.2,98.4
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,98.6,103.9,102.4
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,108.1,103.2,111.6
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,101.8,99.6,101.4
69,第69章陶瓷产品,121.4,108.9,132.3
70,第70章玻璃及其制品,100.7,99.7,100.4
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,122.8,116.6,143.2
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,122.8,116.6,143.2
15类,第十五类 贱金属及其制品,98.3,102.3,100.6
72,第72章钢铁,91.5,115.8,106.0
73,第73章钢铁制品,98.6,110.8,109.2
74,第74章铜及其制品,99.8,68.4,68.3
75,第75章镍及其制品,86.5,103.4,89.4
76,第76章铝及其制品,105.5,87.8,92.7
78,第78章铅及其制品,98.0,163.5,160.2
79,第79章锌及其制品,113.8,108.6,123.6
80,第80章锡及其制品,96.5,161.2,155.6
81,第81章其他贱金属、金属陶瓷及其制品,104.1,79.6,82.9
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,97.9,104.2,102.1
83,第83章贱金属杂项制品,102.9,101.4,104.4
16类,第十六类 机电、音像设备及其零件、附件,101.5,107.4,109.0
84,第84章核反应堆、锅炉、机器、机械器具及零件,98.1,108.2,106.1
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,103.6,106.9,110.8
17类,第十七类 车辆、航空器、船舶及运输设备,99.6,118.5,118.1
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,94.4,91.8,86.7
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,99.0,117.0,115.8
88,第88章航空器、航天器及其零件,85.2,184.0,156.9
89,第89章船舶及浮动结构体,114.6,120.7,138.4
18类,第十八类 光学、医疗等仪器；钟表；乐器,105.6,100.4,106.0
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,106.1,100.8,106.9
91,第91章钟表及其零件,103.9,98.4,102.3
92,第92章乐器及其零件、附件,94.8,90.8,86.1
19类,第十九类 武器、弹药及其零件、附件,118.5,81.0,95.9
93,第93章武器、弹药及其零件、附件,118.5,81.0,95.9
20类,第二十类 杂项制品,103.2,103.5,106.8
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,105.2,98.2,103.3
95,第95章玩具、游戏品、运动用品及其零件、附件,103.7,111.5,115.7
96,第96章杂项制品,93.9,101.8,95.6
21类,第二十一类 艺术品、收藏品及古物,89.0,193.9,172.6
97,第97章艺术品、收藏品及古物,89.0,193.9,172.6
22类,第二十二类 特殊交易品及未分类商品,91.3,148.0,135.1
98,第98章特殊交易品及未分类商品,76.4,178.0,135.9
99,第99章跨境电商B2B简化申报商品,97.9,100.0,98.0
