表二 2023年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年11月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Nov. 2023","Table 2 Index Number of Exports by SITC2,Nov. 2023","Table 2 Index Number of Exports by SITC2,Nov. 2023","Table 2 Index Number of Exports by SITC2,Nov. 2023","Table 2 Index Number of Exports by SITC2,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,95.1,100.7,95.8
0,食品及活动物,94.2,109.6,103.3
00,活动物（03章动物除外）,82.0,101.3,83.0
01,肉及肉制品,96.1,116.7,112.1
02,乳品及蛋品,94.8,119.7,113.5
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,93.1,100.6,93.6
04,谷物及谷物制品,119.1,85.0,101.2
05,蔬菜及水果,98.6,113.7,112.1
06,糖、糖制品及蜂蜜,98.9,127.5,126.2
07,咖啡、茶、马黛茶、调味香料及其制品,93.8,101.1,94.8
08,动物饲料（不包括未碾磨谷物）,75.5,142.6,107.7
09,杂项食品,80.6,111.5,89.9
1,饮料及烟类,117.6,114.5,134.6
11,饮料,118.1,110.7,130.8
12,烟草及烟草制品,115.6,127.3,147.1
2,非食用原料（燃料除外）,92.2,110.9,102.3
21,生皮及生毛皮,95.6,22.9,21.9
22,含油子仁及果实,99.3,150.1,149.0
23,生橡胶（包括合成橡胶及再生橡胶）,88.1,144.1,126.9
24,软木及木材,86.0,79.0,67.9
25,纸浆及废纸,78.0,153.6,119.8
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,90.1,126.0,113.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,85.4,95.8,81.8
28,金属矿砂及金属废料,108.8,109.1,118.7
29,其他动、植物原料,88.2,96.6,85.2
3,矿物燃料、润滑油及有关原料,96.8,85.5,82.8
32,煤、焦炭及煤砖,78.7,154.2,121.3
33,石油、石油产品及有关原料,98.0,82.1,80.4
34,天然气及人造气,90.4,94.8,85.7
35,电力,105.2,91.2,96.0
4,动、植物油、脂及蜡,82.2,167.1,137.4
41,动物油、脂,95.7,121.0,115.7
42,初榨、精制或分离的固定植物油、脂,79.9,130.8,104.4
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,80.2,185.3,148.6
5-9,工业制品,90.6,112.7,102.0
5,化学品及有关产品,82.5,117.2,96.6
51,有机化学品,85.5,110.9,94.9
52,无机化学品,80.2,107.7,86.4
53,染料、鞣料及着色料,90.2,122.6,110.6
54,医药品,81.1,109.5,88.8
55,精油、香膏及芳香料;盥洗及光洁制品,86.3,125.3,108.1
56,肥料（272组货品除外）,71.7,159.7,114.4
57,初级形状的塑料,82.8,129.8,107.5
58,非初级形状的塑料,85.0,122.5,104.1
59,未列名化学原料及产品,78.9,115.5,91.1
6,按原料分类的制成品,86.5,113.5,98.2
61,皮革、皮革制品及已鞣毛皮,99.0,105.6,104.5
62,橡胶制品,94.8,129.1,122.3
63,软木及木制品（家俱除外）,88.1,117.0,103.1
64,纸、纸板及纸浆、纸或纸板制品,79.9,118.0,94.3
65,纺织纱线、织物未列名制品及有关产品,93.0,108.1,100.5
66,未列名非金属矿物制品,80.4,108.4,87.2
67,钢铁,79.7,118.7,94.6
68,有色金属,95.5,113.7,108.6
69,未列名金属制品,84.1,115.6,97.2
7,机械及运输设备,94.7,111.8,105.9
71,动力机械及设备,97.7,102.8,100.4
72,特种工业专用机械,87.2,120.2,104.8
73,金工机械,94.0,126.9,119.3
74,通用工业机械设备及零件,93.1,113.4,105.6
75,办公室用机械及自动数据处理设备,85.5,103.4,88.4
76,电信及声音的录制或重放装置及设备,100.4,115.5,116.0
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,96.3,105.7,101.8
78,陆路车辆（包括气垫式）,94.2,123.9,116.7
79,其他运输设备,94.4,155.2,146.5
8,杂项制品,87.0,110.8,96.4
81,活动房屋;卫生、水道、供热及照明装置,84.4,115.7,97.6
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,82.7,131.9,109.1
83,旅行用品、手提包及类似容器,85.1,117.7,100.2
84,服装及衣着附件,90.9,107.7,97.9
85,鞋靴,84.8,99.1,84.0
87,专业、科学及控制用仪器及设备,98.0,104.8,102.6
88,摄影器材及光学物品;钟表,95.9,97.2,93.3
89,未列名杂项制品,84.9,109.4,92.8
9,未分类的商品及交易品,110.0,108.3,119.0
97,金，非货币（不包括黄金矿砂及精矿）,116.5,174.1,202.8
98,其他,94.6,122.0,115.4
