表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Oct. 2023","Table 13 Index Number of Imports by HS2,Oct. 2023","Table 13 Index Number of Imports by HS2,Oct. 2023","Table 13 Index Number of Imports by HS2,Oct. 2023","Table 13 Index Number of Imports by HS2,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,97.3,109.4,106.4
1类,第一类 活动物；动物产品,85.3,91.6,78.1
01,第1章活动物,83.5,113.3,58.0
02,第2章肉及食用杂碎,80.1,87.9,70.5
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,91.1,96.8,88.2
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,91.2,93.9,85.7
05,第5章其他动物产品,89.4,89.8,80.3
2类,第二类 植物产品,89.3,130.2,116.2
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,114.9,138.8,159.4
07,第7章食用蔬菜、根及块茎,83.7,155.2,129.9
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,98.4,159.6,157.0
09,第9章咖啡、茶、马黛茶及调味香料,99.5,83.7,83.3
10,第10章谷物,85.6,143.4,122.8
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,109.8,108.0,118.6
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,87.1,119.9,104.4
13,第13章虫胶；树胶、树脂及其他植物液、汁,88.9,89.2,79.4
14,第14章编结用植物材料；其他植物产品,96.2,93.0,89.5
3类,第三类 动、植物油、脂、蜡；精制食用油脂,81.7,114.0,93.1
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,81.7,114.0,93.1
4类,第四类 食品；饮料、酒及醋；烟草及制品,111.7,105.5,117.8
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,93.5,169.1,158.0
17,第17章糖及糖食,124.1,186.4,231.4
18,第18章可可及可可制品,102.1,129.8,132.5
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,117.9,78.1,92.1
20,第20章蔬菜、水果、坚果或植物其他部分的制品,106.3,109.4,116.3
21,第21章杂项食品,112.1,100.5,112.7
22,第22章饮料、酒及醋,107.7,101.7,109.5
23,第23章食品工业的残渣及废料；配制的动物饲料,104.0,100.9,105.0
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,113.8,60.3,68.6
5类,第五类 矿产品,97.3,117.0,113.9
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,83.7,160.6,134.5
26,第26章矿砂、矿渣及矿灰,115.5,113.7,131.3
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,91.4,116.9,106.9
6类,第六类 化学工业及其相关工业的产品,94.9,106.1,100.7
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,78.5,113.3,88.9
29,第29章有机化学品,101.1,96.2,97.2
30,第30章药品,101.0,124.2,125.4
31,第31章肥料,56.8,204.6,116.3
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,98.7,117.1,115.5
33,第33章精油及香膏；芳香料制品及化妆盥洗品,83.3,95.0,79.2
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,95.9,93.6,89.8
35,第35章蛋白类物质；改性淀粉；胶；酶,98.8,106.5,105.2
36,第36章炸药；烟火制品；引火合金；易燃材料制品,123.8,100.9,125.0
37,第37章照相及电影用品,111.0,96.8,107.5
38,第38章杂项化学产品,108.5,96.7,104.9
7类,第七类 塑料及其制品；橡胶及其制品,93.7,101.2,94.8
39,第39章塑料及其制品,93.6,101.0,94.5
40,第40章橡胶及其制品,93.8,102.1,95.8
8类,第八类 革、毛皮及制品；箱包；肠线制品,93.2,129.6,120.8
41,第41章生皮（毛皮除外）及皮革,92.9,109.9,102.1
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,91.9,137.1,126.0
43,第43章毛皮、人造毛皮及其制品,102.1,149.7,154.7
9类,第九类 木及制品；木炭；软木；编结品,88.9,98.2,87.3
44,第44章木及木制品；木炭,88.9,98.1,87.2
45,第45章软木及软木制品,129.8,88.9,115.3
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,107.1,117.2,125.5
10类,第十类 木浆等；废纸；纸、纸板及其制品,71.9,133.1,95.7
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,68.4,133.9,91.7
48,第48章纸及纸板；纸浆、纸或纸板制品,85.6,130.5,111.7
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,69.4,131.7,91.5
11类,第十一类 纺织原料及纺织制品,94.0,133.7,125.7
50,第50章蚕丝,101.5,145.1,147.2
