表四 2023年9月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年9月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年9月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2023年9月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Sept. 2023","Table 4 Index Number of Exports by Industry,Sept. 2023","Table 4 Index Number of Exports by Industry,Sept. 2023","Table 4 Index Number of Exports by Industry,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
农、林、牧、渔业,96.2,109.2,105.0
农业,96.4,110.9,106.9
林业,99.0,85.1,84.2
畜牧业,91.4,110.2,100.7
渔业,97.9,91.6,89.7
采矿业,86.5,61.1,52.9
煤炭开采和洗选业,88.6,101.0,89.5
石油和天然气开采业,81.5,38.4,31.3
黑色金属矿采选业,88.0,90.2,79.4
有色金属矿采选业,104.1,101.6,105.7
非金属矿采选业,87.4,63.9,55.9
制造业,92.0,108.3,99.7
消费品制造业,90.1,108.9,98.1
农副食品加工业,96.8,107.2,103.8
食品制造业,93.9,121.7,114.2
酒、饮料和精制茶制造业,99.0,115.1,113.9
烟草制品业,80.4,140.7,113.2
纺织业,94.2,107.9,101.6
纺织服装、服饰业,93.3,104.8,97.8
皮革、毛皮、羽毛及其制品和制鞋业,88.0,104.5,91.9
家具制造业,84.1,123.9,104.1
造纸和纸制品业,81.8,114.6,93.7
印刷和记录媒介复制业,87.3,134.9,117.8
文教、工美、体育和娱乐用品制造业,85.8,109.0,93.5
医药制造业,93.6,96.9,90.7
化学纤维制造业,94.0,133.7,125.7
原材料制造业,82.7,112.8,93.2
石油、煤炭及其他燃料加工业,85.5,94.3,80.7
化学原料和化学制品制造业,80.9,112.9,91.3
非金属矿物制品业,79.1,112.3,88.8
黑色金属冶炼和压延加工业,80.2,132.1,105.9
有色金属冶炼和压延加工业,97.5,112.9,110.0
装备制造业,94.5,106.6,100.7
金属制品业,85.7,102.3,87.7
通用设备制造业,95.3,110.7,105.4
专用设备制造业,93.4,111.1,103.8
汽车制造业,104.4,130.1,135.8
铁路、船舶、航空航天和其他运输设备制造业,93.4,100.4,93.8
电气机械和器材制造业,94.7,106.5,100.9
计算机、通信和其他电子设备制造业,94.3,102.8,96.9
仪器仪表制造业,97.5,106.2,103.6
木材加工和木、竹、藤、棕、草制品业,93.1,113.0,105.2
橡胶和塑料制品业,88.3,119.6,105.6
其他制造业,113.9,105.2,119.8
废弃资源综合利用业,69.3,80.0,55.4
电力、热力、燃气及水生产和供应业,103.6,85.7,88.8
电力、热力生产和供应业,103.6,85.7,88.8
