表二 2024年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年12月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年12月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Dec. 2024","Table 2 Index Number of Exports by SITC2,Dec. 2024","Table 2 Index Number of Exports by SITC2,Dec. 2024","Table 2 Index Number of Exports by SITC2,Dec. 2024","Table 2 Index Number of Exports by SITC2,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,94.4,108.0,102.0
0,食品及活动物,94.5,121.9,115.3
00,活动物（03章动物除外）,104.1,98.4,102.4
01,肉及肉制品,95.7,124.6,119.2
02,乳品及蛋品,92.1,165.2,152.1
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,97.0,121.0,117.4
04,谷物及谷物制品,92.4,85.1,78.6
05,蔬菜及水果,93.5,126.6,118.4
06,糖、糖制品及蜂蜜,96.2,119.2,114.7
07,咖啡、茶、马黛茶、调味香料及其制品,97.7,111.5,108.9
08,动物饲料（不包括未碾磨谷物）,81.6,134.8,110.0
09,杂项食品,96.4,121.7,117.3
1,饮料及烟类,107.4,115.1,123.6
11,饮料,108.9,108.1,117.7
12,烟草及烟草制品,102.6,139.7,143.3
2,非食用原料（燃料除外）,98.1,124.9,122.5
21,生皮及生毛皮,81.3,140.5,114.2
22,含油子仁及果实,101.2,100.7,101.9
23,生橡胶（包括合成橡胶及再生橡胶）,106.3,129.0,137.2
24,软木及木材,85.8,113.4,97.3
25,纸浆及废纸,91.4,172.2,157.4
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,99.5,106.3,105.8
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,91.8,112.5,103.4
28,金属矿砂及金属废料,102.4,148.4,152.0
29,其他动、植物原料,95.5,136.2,130.0
3,矿物燃料、润滑油及有关原料,90.0,83.9,75.6
32,煤、焦炭及煤砖,70.3,93.8,66.0
33,石油、石油产品及有关原料,90.1,84.0,75.7
34,天然气及人造气,103.7,65.8,68.2
35,电力,102.1,126.0,128.7
4,动、植物油、脂及蜡,107.2,63.4,67.9
41,动物油、脂,139.1,48.7,67.7
42,初榨、精制或分离的固定植物油、脂,93.5,147.3,137.8
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,104.9,54.2,56.8
5-9,工业制品,94.6,117.7,111.4
5,化学品及有关产品,92.9,120.8,112.3
51,有机化学品,89.8,123.4,110.9
52,无机化学品,91.5,99.7,91.3
53,染料、鞣料及着色料,94.4,117.7,111.2
54,医药品,100.8,118.3,119.3
55,精油、香膏及芳香料;盥洗及光洁制品,96.3,127.9,123.2
56,肥料（272组货品除外）,95.3,102.7,97.8
57,初级形状的塑料,94.4,137.9,130.2
58,非初级形状的塑料,89.9,128.0,115.2
59,未列名化学原料及产品,94.1,116.9,110.0
6,按原料分类的制成品,91.5,122.5,112.1
61,皮革、皮革制品及已鞣毛皮,86.5,115.6,100.0
62,橡胶制品,97.7,114.1,111.5
63,软木及木制品（家俱除外）,91.3,120.0,109.6
64,纸、纸板及纸浆、纸或纸板制品,83.5,121.5,101.4
65,纺织纱线、织物未列名制品及有关产品,94.2,125.1,117.9
66,未列名非金属矿物制品,85.3,110.9,94.6
67,钢铁,88.2,130.3,114.9
68,有色金属,106.4,116.1,123.6
69,未列名金属制品,90.3,125.5,113.4
7,机械及运输设备,97.7,115.8,113.1
71,动力机械及设备,97.6,124.7,121.7
72,特种工业专用机械,99.1,128.7,127.5
73,金工机械,101.8,118.7,120.9
74,通用工业机械设备及零件,100.1,125.6,125.6
75,办公室用机械及自动数据处理设备,107.1,101.9,109.1
76,电信及声音的录制或重放装置及设备,95.3,102.2,97.4
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,96.1,113.5,109.1
78,陆路车辆（包括气垫式）,93.7,129.9,121.7
79,其他运输设备,100.5,167.3,168.2
8,杂项制品,89.9,114.2,102.7
81,活动房屋;卫生、水道、供热及照明装置,88.6,117.5,104.1
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,88.6,117.8,104.4
83,旅行用品、手提包及类似容器,82.0,113.7,93.3
84,服装及衣着附件,92.0,116.4,107.0
85,鞋靴,92.9,108.6,101.0
87,专业、科学及控制用仪器及设备,97.2,115.4,112.2
88,摄影器材及光学物品;钟表,93.8,110.1,103.3
89,未列名杂项制品,88.1,112.1,98.8
9,未分类的商品及交易品,128.0,107.4,137.5
97,金，非货币（不包括黄金矿砂及精矿）,132.7,212.3,281.7
98,其他,100.9,126.0,127.2
