表十六 2025年5月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年5月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年5月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年5月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,May 2025","Table 16 Index Number of Imports by Industry,May 2025","Table 16 Index Number of Imports by Industry,May 2025","Table 16 Index Number of Imports by Industry,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,96.2,103.7,99.8
农业,95.8,102.2,97.9
林业,105.8,97.2,102.9
畜牧业,99.9,124.4,124.3
渔业,87.6,136.7,119.8
采矿业,88.3,98.5,87.0
煤炭开采和洗选业,76.8,81.2,62.3
石油和天然气开采业,81.6,97.1,79.2
黑色金属矿采选业,90.2,97.6,88.0
有色金属矿采选业,114.6,111.1,127.4
非金属矿采选业,101.7,92.8,94.4
制造业,104.3,98.1,102.3
消费品制造业,98.8,102.5,101.3
农副食品加工业,101.1,104.2,105.4
食品制造业,110.9,99.6,110.4
酒、饮料和精制茶制造业,103.7,91.9,95.3
烟草制品业,112.7,100.6,113.4
纺织业,99.1,90.6,89.8
纺织服装、服饰业,93.0,97.8,90.9
皮革、毛皮、羽毛及其制品和制鞋业,97.7,90.8,88.8
家具制造业,111.8,93.6,104.7
造纸和纸制品业,98.0,102.6,100.5
印刷和记录媒介复制业,62.7,163.1,102.2
文教、工美、体育和娱乐用品制造业,109.1,87.1,95.1
医药制造业,91.7,112.6,103.2
化学纤维制造业,100.8,83.3,84.0
原材料制造业,107.4,89.1,95.7
石油、煤炭及其他燃料加工业,97.5,95.3,92.9
化学原料和化学制品制造业,95.4,100.0,95.5
非金属矿物制品业,105.2,81.9,86.2
黑色金属冶炼和压延加工业,95.6,94.9,90.7
有色金属冶炼和压延加工业,122.0,80.4,98.1
装备制造业,103.9,102.9,106.8
金属制品业,104.1,93.4,97.2
通用设备制造业,102.0,102.4,104.5
专用设备制造业,111.5,88.7,98.9
汽车制造业,97.5,77.1,75.1
铁路、船舶、航空航天和其他运输设备制造业,96.2,78.3,75.4
电气机械和器材制造业,105.2,98.9,104.0
计算机、通信和其他电子设备制造业,104.0,110.0,114.4
仪器仪表制造业,101.2,93.6,94.7
木材加工和木、竹、藤、棕、草制品业,102.2,85.3,87.2
橡胶和塑料制品业,105.1,91.6,96.3
其他制造业,123.5,76.3,94.2
废弃资源综合利用业,102.1,95.7,97.7
电力、热力、燃气及水生产和供应业,97.8,57.9,56.6
电力、热力生产和供应业,97.8,57.9,56.6
文化、体育和娱乐业,88.5,154.5,136.7
新闻和出版业,88.5,154.5,136.7
