表三 2024年10月份全国出口商品贸易同比指数（BEC分类）,表三 2024年10月份全国出口商品贸易同比指数（BEC分类）,表三 2024年10月份全国出口商品贸易同比指数（BEC分类）,表三 2024年10月份全国出口商品贸易同比指数（BEC分类）,表三 2024年10月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Oct. 2024","Table 3 Index Number of Exports by BEC,Oct. 2024","Table 3 Index Number of Exports by BEC,Oct. 2024","Table 3 Index Number of Exports by BEC,Oct. 2024","Table 3 Index Number of Exports by BEC,Oct. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,95.1,121.9,116.0
111,中间品,97.8,108.7,106.3
1111,初级品,94.3,117.7,110.9
1112,加工品,98.8,106.3,105.0
112,资本品,100.1,169.7,170.0
113,消费品,93.2,118.6,110.5
1131,初级品,93.1,119.7,111.4
1132,加工品,93.5,116.5,108.9
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,91.9,112.7,103.6
211,中间品,92.5,117.2,108.5
2111,初级品,91.7,120.3,110.2
2112,加工品,92.6,117.0,108.4
212,资本品,94.9,124.6,118.3
213,消费品,84.9,78.8,66.9
2131,初级品,84.9,78.8,66.9
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,91.6,125.6,115.1
311,中间品,92.1,124.8,115.0
3111,初级品,100.0,92.9,92.9
3112,加工品,92.0,125.2,115.2
312,资本品,95.4,127.6,121.7
313,消费品,88.5,125.4,111.0
3131,初级品,90.1,127.9,115.2
3132,加工品,88.5,125.3,110.8
4,纺织品、服装、鞋,91.9,119.7,109.9
411,中间品,97.4,127.7,124.4
4111,初级品,105.3,215.3,226.7
4112,加工品,97.4,127.6,124.3
412,资本品,97.7,128.7,125.8
413,消费品,88.9,115.3,102.6
4131,初级品,103.0,83.8,86.3
4132,加工品,88.9,115.3,102.6
5,运输设备和服务、旅行、邮政服务,90.7,124.9,113.2
511,中间品,91.4,124.6,113.9
5111,初级品,104.3,94.4,98.5
5112,加工品,91.4,124.6,113.9
512,资本品,94.0,139.0,130.6
513,消费品,87.4,115.7,101.2
5132,加工品,87.4,115.7,101.2
6,信息和通信技术、媒体、计算机、商业和金融服务,98.7,108.2,106.8
611,中间品,99.3,112.5,111.7
6112,加工品,99.3,112.5,111.7
612,资本品,101.0,106.6,107.7
613,消费品,95.9,104.5,100.2
6131,初级品,92.0,118.6,109.0
6132,加工品,95.9,104.4,100.2
7,健康、制药、教育、文化、体育,94.0,119.5,112.4
711,中间品,99.4,117.3,116.6
7111,初级品,62.2,138.9,86.4
7112,加工品,99.4,117.3,116.7
712,资本品,96.6,121.9,117.7
713,消费品,91.6,119.6,109.5
7131,初级品,89.6,128.2,114.9
7132,加工品,91.8,118.7,109.0
8,政府、军队和其他,100.6,109.0,109.6
811,中间品,98.5,110.8,109.1
8112,加工品,98.5,110.8,109.1
812,资本品,107.1,104.7,112.2
813,消费品,91.5,111.1,101.6
8131,初级品,92.4,120.0,110.9
8132,加工品,91.5,110.4,100.9
