表十五 2024年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年10月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年10月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Oct. 2024","Table 15 Index Number of Imports by BEC,Oct. 2024","Table 15 Index Number of Imports by BEC,Oct. 2024","Table 15 Index Number of Imports by BEC,Oct. 2024","Table 15 Index Number of Imports by BEC,Oct. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,94.6,101.9,96.4
111,中间品,90.9,104.3,94.8
1111,初级品,89.2,117.9,105.2
1112,加工品,94.3,81.7,77.0
112,资本品,123.3,79.7,98.2
113,消费品,99.1,99.4,98.6
1131,初级品,99.3,99.4,98.7
1132,加工品,98.1,99.6,97.7
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,89.9,99.8,89.8
211,中间品,89.4,99.9,89.4
2111,初级品,86.9,100.5,87.3
2112,加工品,101.2,97.4,98.6
212,资本品,106.1,93.3,99.0
213,消费品,92.9,96.5,89.7
2131,初级品,92.9,96.5,89.7
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,104.1,95.6,99.5
311,中间品,105.1,96.3,101.1
3111,初级品,105.6,52.8,55.8
3112,加工品,105.0,100.7,105.8
312,资本品,98.5,93.6,92.2
313,消费品,104.1,94.2,98.0
3131,初级品,96.3,124.2,119.6
3132,加工品,106.1,88.2,93.6
4,纺织品、服装、鞋,118.0,91.1,107.5
411,中间品,122.5,89.9,110.1
4111,初级品,92.7,50.0,46.3
4112,加工品,124.4,93.1,115.8
412,资本品,97.8,80.5,78.7
413,消费品,94.6,104.9,99.2
4131,初级品,107.9,184.8,199.5
4132,加工品,94.6,104.9,99.2
5,运输设备和服务、旅行、邮政服务,99.5,79.8,79.4
511,中间品,101.7,85.0,86.5
5111,初级品,109.4,88.2,96.5
5112,加工品,101.7,85.0,86.5
512,资本品,94.2,177.8,167.5
513,消费品,96.2,57.0,54.8
5132,加工品,96.2,57.0,54.8
6,信息和通信技术、媒体、计算机、商业和金融服务,101.7,105.1,106.9
611,中间品,100.4,104.6,105.1
6112,加工品,100.4,104.6,105.1
612,资本品,109.9,104.9,115.2
613,消费品,85.5,111.3,95.2
6131,初级品,129.6,92.1,119.4
6132,加工品,85.5,111.4,95.2
7,健康、制药、教育、文化、体育,106.1,91.7,97.3
711,中间品,103.8,103.5,107.4
7112,加工品,103.8,103.5,107.4
712,资本品,102.6,82.3,84.5
713,消费品,109.8,87.2,95.7
7131,初级品,109.4,82.2,89.9
7132,加工品,110.0,90.0,99.0
8,政府、军队和其他,104.4,85.7,89.5
811,中间品,105.8,81.4,86.2
8112,加工品,105.8,81.4,86.2
812,资本品,104.7,87.9,92.0
813,消费品,90.3,101.2,91.3
8131,初级品,135.0,6.2,8.4
8132,加工品,89.4,105.3,94.1
