表二 2025年4月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年4月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年4月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年4月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年4月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Apr. 2025","Table 2 Index Number of Exports by SITC2,Apr. 2025","Table 2 Index Number of Exports by SITC2,Apr. 2025","Table 2 Index Number of Exports by SITC2,Apr. 2025","Table 2 Index Number of Exports by SITC2,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,95.1,107.3,102.1
0,食品及活动物,96.1,110.1,105.8
00,活动物（03章动物除外）,95.7,109.1,104.4
01,肉及肉制品,95.5,117.0,111.8
02,乳品及蛋品,99.0,140.1,138.7
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,100.6,104.0,104.7
04,谷物及谷物制品,95.3,122.6,116.8
05,蔬菜及水果,92.5,116.2,107.5
06,糖、糖制品及蜂蜜,96.9,107.8,104.5
07,咖啡、茶、马黛茶、调味香料及其制品,98.6,102.8,101.4
08,动物饲料（不包括未碾磨谷物）,97.1,87.1,84.6
09,杂项食品,95.4,115.8,110.5
1,饮料及烟类,97.4,106.9,104.1
11,饮料,99.0,107.2,106.1
12,烟草及烟草制品,90.6,105.8,95.9
2,非食用原料（燃料除外）,95.2,110.1,104.9
21,生皮及生毛皮,97.8,154.3,150.8
22,含油子仁及果实,93.0,108.2,100.6
23,生橡胶（包括合成橡胶及再生橡胶）,102.7,108.6,111.6
24,软木及木材,83.2,106.3,88.5
25,纸浆及废纸,104.7,118.0,123.6
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,95.7,96.6,92.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,94.0,96.8,91.0
28,金属矿砂及金属废料,86.2,147.2,126.8
29,其他动、植物原料,99.9,106.0,105.9
3,矿物燃料、润滑油及有关原料,91.7,105.2,96.5
32,煤、焦炭及煤砖,73.3,81.6,59.8
33,石油、石油产品及有关原料,92.8,105.6,98.1
34,天然气及人造气,100.5,113.3,113.9
35,电力,94.3,122.2,115.3
4,动、植物油、脂及蜡,113.7,82.8,94.1
41,动物油、脂,92.4,78.9,72.8
42,初榨、精制或分离的固定植物油、脂,97.9,159.5,156.2
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,121.0,75.4,91.2
5-9,工业制品,96.7,113.3,109.6
5,化学品及有关产品,95.7,109.0,104.3
51,有机化学品,94.9,106.8,101.4
52,无机化学品,94.3,104.2,98.2
53,染料、鞣料及着色料,93.6,103.7,97.0
54,医药品,99.3,111.0,110.2
55,精油、香膏及芳香料;盥洗及光洁制品,99.0,119.1,117.9
56,肥料（272组货品除外）,104.2,85.8,89.4
57,初级形状的塑料,94.6,114.9,108.8
58,非初级形状的塑料,93.1,118.8,110.6
59,未列名化学原料及产品,96.8,105.5,102.1
6,按原料分类的制成品,94.1,114.0,107.3
61,皮革、皮革制品及已鞣毛皮,95.0,104.2,99.0
62,橡胶制品,98.3,107.8,105.9
63,软木及木制品（家俱除外）,94.1,111.2,104.6
64,纸、纸板及纸浆、纸或纸板制品,88.4,114.4,101.2
65,纺织纱线、织物未列名制品及有关产品,94.5,111.1,104.9
66,未列名非金属矿物制品,95.1,107.8,102.5
67,钢铁,89.6,116.2,104.1
68,有色金属,108.3,122.6,132.8
69,未列名金属制品,92.5,117.0,108.2
7,机械及运输设备,97.9,114.7,112.3
71,动力机械及设备,98.3,123.2,121.1
72,特种工业专用机械,101.3,123.7,125.2
73,金工机械,104.7,126.3,132.3
74,通用工业机械设备及零件,97.1,119.3,115.9
75,办公室用机械及自动数据处理设备,94.0,105.6,99.2
76,电信及声音的录制或重放装置及设备,95.0,106.8,101.5
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,100.3,116.4,116.7
78,陆路车辆（包括气垫式）,94.5,115.4,109.0
79,其他运输设备,109.2,119.0,129.9
8,杂项制品,92.1,108.6,100.0
81,活动房屋;卫生、水道、供热及照明装置,87.9,115.0,101.1
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,94.8,99.7,94.5
83,旅行用品、手提包及类似容器,85.2,108.6,92.5
84,服装及衣着附件,89.5,112.3,100.5
85,鞋靴,93.4,110.6,103.2
87,专业、科学及控制用仪器及设备,103.5,112.0,116.0
88,摄影器材及光学物品;钟表,104.5,99.4,103.8
89,未列名杂项制品,91.2,108.0,98.5
9,未分类的商品及交易品,125.5,124.1,155.7
97,金，非货币（不包括黄金矿砂及精矿）,139.6,214.1,298.9
98,其他,124.2,117.4,145.8
